species,display_name,base_form_group,type1,type2,egggroup1,egggroup2,hp,atk,def,spe,spa,spd,bst,form_type,category_group,excluded_from_normal_pool,exclusion_reason
SPECIES_RATTATA,Rattata,SPECIES_RATTATA,NORMAL,NORMAL,FIELD,FIELD,30,56,35,72,25,35,253,base,normal,0,
SPECIES_RATICATE,Raticate,SPECIES_RATICATE,NORMAL,NORMAL,FIELD,FIELD,55,81,60,97,50,70,413,base,normal,0,
SPECIES_SPEAROW,Spearow,SPECIES_SPEAROW,NORMAL,FLYING,FLYING,FLYING,40,60,30,70,31,31,262,base,normal,0,
SPECIES_FEAROW,Fearow,SPECIES_FEAROW,NORMAL,FLYING,FLYING,FLYING,65,90,65,100,61,61,442,base,normal,0,
SPECIES_EKANS,Ekans,SPECIES_EKANS,POISON,POISON,FIELD,DRAGON,35,60,44,55,40,54,288,base,normal,0,
SPECIES_ARBOK,Arbok,SPECIES_ARBOK,POISON,POISON,FIELD,DRAGON,60,95,69,80,65,79,448,base,normal,0,
SPECIES_PIKACHU,Pikachu,SPECIES_PIKACHU,ELECTRIC,ELECTRIC,FIELD,FAIRY,35,55,40,90,50,50,320,base,normal,0,
SPECIES_RAICHU,Raichu,SPECIES_RAICHU,ELECTRIC,ELECTRIC,FIELD,FAIRY,60,90,55,110,90,80,485,base,normal,0,
SPECIES_SANDSHREW,Sandshrew,SPECIES_SANDSHREW,GROUND,GROUND,FIELD,FIELD,50,75,85,40,20,30,300,base,normal,0,
SPECIES_SANDSLASH,Sandslash,SPECIES_SANDSLASH,GROUND,GROUND,FIELD,FIELD,75,100,110,65,45,55,450,base,normal,0,
SPECIES_NIDORAN_F,Nidoran♀,SPECIES_NIDORAN_F,POISON,POISON,MONSTER,FIELD,55,47,52,41,40,40,275,base,normal,0,
SPECIES_NIDORINA,Nidorina,SPECIES_NIDORINA,POISON,POISON,UNDISCOVERED,UNDISCOVERED,70,62,67,56,55,55,365,base,normal,0,
SPECIES_NIDOQUEEN,Nidoqueen,SPECIES_NIDOQUEEN,POISON,GROUND,UNDISCOVERED,UNDISCOVERED,90,92,87,76,75,85,505,base,normal,0,
SPECIES_NIDORAN_M,Nidoran♂,SPECIES_NIDORAN_M,POISON,POISON,MONSTER,FIELD,46,57,40,50,40,40,273,base,normal,0,
SPECIES_NIDORINO,Nidorino,SPECIES_NIDORINO,POISON,POISON,MONSTER,FIELD,61,72,57,65,55,55,365,base,normal,0,
SPECIES_NIDOKING,Nidoking,SPECIES_NIDOKING,POISON,GROUND,MONSTER,FIELD,81,102,77,85,85,75,505,base,normal,0,
SPECIES_CLEFAIRY,Clefairy,SPECIES_CLEFAIRY,FAIRY,FAIRY,FAIRY,FAIRY,70,45,48,35,60,65,323,base,normal,0,
SPECIES_CLEFABLE,Clefable,SPECIES_CLEFABLE,FAIRY,FAIRY,FAIRY,FAIRY,95,70,73,60,95,90,483,base,normal,0,
SPECIES_VULPIX,Vulpix,SPECIES_VULPIX,FIRE,FIRE,FIELD,FIELD,38,41,40,65,50,65,299,base,normal,0,
SPECIES_NINETALES,Ninetales,SPECIES_NINETALES,FIRE,FIRE,FIELD,FIELD,73,76,75,100,81,100,505,base,normal,0,
SPECIES_JIGGLYPUFF,Jigglypuff,SPECIES_JIGGLYPUFF,NORMAL,FAIRY,FAIRY,FAIRY,115,45,20,20,45,25,270,base,normal,0,
SPECIES_WIGGLYTUFF,Wigglytuff,SPECIES_WIGGLYTUFF,NORMAL,FAIRY,FAIRY,FAIRY,140,70,45,45,85,50,435,base,normal,0,
SPECIES_ZUBAT,Zubat,SPECIES_ZUBAT,POISON,FLYING,FLYING,FLYING,40,45,35,55,30,40,245,base,normal,0,
SPECIES_GOLBAT,Golbat,SPECIES_GOLBAT,POISON,FLYING,FLYING,FLYING,75,80,70,90,65,75,455,base,normal,0,
SPECIES_ODDISH,Oddish,SPECIES_ODDISH,GRASS,POISON,GRASS,GRASS,45,50,55,30,75,65,320,base,normal,0,
SPECIES_GLOOM,Gloom,SPECIES_GLOOM,GRASS,POISON,GRASS,GRASS,60,65,70,40,85,75,395,base,normal,0,
SPECIES_VILEPLUME,Vileplume,SPECIES_VILEPLUME,GRASS,POISON,GRASS,GRASS,75,80,85,50,110,90,490,base,normal,0,
SPECIES_PARAS,Paras,SPECIES_PARAS,BUG,GRASS,BUG,GRASS,35,70,55,25,45,55,285,base,normal,0,
SPECIES_PARASECT,Parasect,SPECIES_PARASECT,BUG,GRASS,BUG,GRASS,60,95,80,30,60,80,405,base,normal,0,
SPECIES_VENONAT,Venonat,SPECIES_VENONAT,BUG,POISON,BUG,BUG,60,55,50,45,40,55,305,base,normal,0,
SPECIES_VENOMOTH,Venomoth,SPECIES_VENOMOTH,BUG,POISON,BUG,BUG,70,65,60,90,90,75,450,base,normal,0,
SPECIES_DIGLETT,Diglett,SPECIES_DIGLETT,GROUND,GROUND,FIELD,FIELD,10,55,25,95,35,45,265,base,normal,0,
SPECIES_DUGTRIO,Dugtrio,SPECIES_DUGTRIO,GROUND,GROUND,FIELD,FIELD,35,100,50,120,50,70,425,base,normal,0,
SPECIES_MEOWTH,Meowth,SPECIES_MEOWTH,NORMAL,NORMAL,FIELD,FIELD,40,45,35,90,40,40,290,base,normal,0,
SPECIES_PERSIAN,Persian,SPECIES_PERSIAN,NORMAL,NORMAL,FIELD,FIELD,65,70,60,115,65,65,440,base,normal,0,
SPECIES_PSYDUCK,Psyduck,SPECIES_PSYDUCK,WATER,WATER,WATER_1,FIELD,50,52,48,55,65,50,320,base,normal,0,
SPECIES_GOLDUCK,Golduck,SPECIES_GOLDUCK,WATER,WATER,WATER_1,FIELD,80,82,78,85,95,80,500,base,normal,0,
SPECIES_MANKEY,Mankey,SPECIES_MANKEY,FIGHTING,FIGHTING,FIELD,FIELD,40,80,35,70,35,45,305,base,normal,0,
SPECIES_PRIMEAPE,Primeape,SPECIES_PRIMEAPE,FIGHTING,FIGHTING,FIELD,FIELD,65,105,60,95,60,70,455,base,normal,0,
SPECIES_GROWLITHE,Growlithe,SPECIES_GROWLITHE,FIRE,FIRE,FIELD,FIELD,55,70,45,60,70,50,350,base,normal,0,
SPECIES_ARCANINE,Arcanine,SPECIES_ARCANINE,FIRE,FIRE,FIELD,FIELD,90,110,80,95,100,80,555,base,normal,0,
SPECIES_POLIWAG,Poliwag,SPECIES_POLIWAG,WATER,WATER,WATER_1,WATER_1,40,50,40,90,40,40,300,base,normal,0,
SPECIES_POLIWHIRL,Poliwhirl,SPECIES_POLIWHIRL,WATER,WATER,WATER_1,WATER_1,65,65,65,90,50,50,385,base,normal,0,
SPECIES_POLIWRATH,Poliwrath,SPECIES_POLIWRATH,WATER,FIGHTING,WATER_1,WATER_1,90,95,95,70,70,90,510,base,normal,0,
SPECIES_ABRA,Abra,SPECIES_ABRA,PSYCHIC,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,25,20,15,90,105,55,310,base,normal,0,
SPECIES_KADABRA,Kadabra,SPECIES_KADABRA,PSYCHIC,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,40,35,30,105,120,70,400,base,normal,0,
SPECIES_ALAKAZAM,Alakazam,SPECIES_ALAKAZAM,PSYCHIC,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,55,50,45,120,135,95,500,base,normal,0,
SPECIES_MACHOP,Machop,SPECIES_MACHOP,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,70,80,50,35,35,35,305,base,normal,0,
SPECIES_MACHOKE,Machoke,SPECIES_MACHOKE,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,80,100,70,45,50,60,405,base,normal,0,
SPECIES_MACHAMP,Machamp,SPECIES_MACHAMP,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,90,130,80,55,65,85,505,base,normal,0,
SPECIES_BELLSPROUT,Bellsprout,SPECIES_BELLSPROUT,GRASS,POISON,GRASS,GRASS,50,75,35,40,70,30,300,base,normal,0,
SPECIES_WEEPINBELL,Weepinbell,SPECIES_WEEPINBELL,GRASS,POISON,GRASS,GRASS,65,90,50,55,85,45,390,base,normal,0,
SPECIES_VICTREEBEL,Victreebel,SPECIES_VICTREEBEL,GRASS,POISON,GRASS,GRASS,80,105,65,70,100,70,490,base,normal,0,
SPECIES_TENTACOOL,Tentacool,SPECIES_TENTACOOL,WATER,POISON,WATER_3,WATER_3,40,40,35,70,50,100,335,base,normal,0,
SPECIES_TENTACRUEL,Tentacruel,SPECIES_TENTACRUEL,WATER,POISON,WATER_3,WATER_3,80,70,65,100,80,120,515,base,normal,0,
SPECIES_GEODUDE,Geodude,SPECIES_GEODUDE,ROCK,GROUND,MINERAL,MINERAL,40,80,100,20,30,30,300,base,normal,0,
SPECIES_GRAVELER,Graveler,SPECIES_GRAVELER,ROCK,GROUND,MINERAL,MINERAL,55,95,115,35,45,45,390,base,normal,0,
SPECIES_GOLEM,Golem,SPECIES_GOLEM,ROCK,GROUND,MINERAL,MINERAL,80,120,130,45,55,65,495,base,normal,0,
SPECIES_PONYTA,Ponyta,SPECIES_PONYTA,FIRE,FIRE,FIELD,FIELD,50,85,55,90,65,65,410,base,normal,0,
SPECIES_RAPIDASH,Rapidash,SPECIES_RAPIDASH,FIRE,FIRE,FIELD,FIELD,65,100,70,105,80,80,500,base,normal,0,
SPECIES_SLOWPOKE,Slowpoke,SPECIES_SLOWPOKE,WATER,PSYCHIC,MONSTER,WATER_1,90,65,65,15,40,40,315,base,normal,0,
SPECIES_SLOWBRO,Slowbro,SPECIES_SLOWBRO,WATER,PSYCHIC,MONSTER,WATER_1,95,75,110,30,100,80,490,base,normal,0,
SPECIES_MAGNEMITE,Magnemite,SPECIES_MAGNEMITE,ELECTRIC,STEEL,MINERAL,MINERAL,25,35,70,45,95,55,325,base,normal,0,
SPECIES_MAGNETON,Magneton,SPECIES_MAGNETON,ELECTRIC,STEEL,MINERAL,MINERAL,50,60,95,70,120,70,465,base,normal,0,
SPECIES_FARFETCHD,Farfetch’d,SPECIES_FARFETCHD,NORMAL,FLYING,FLYING,FIELD,52,90,55,60,58,62,377,base,normal,0,
SPECIES_DODUO,Doduo,SPECIES_DODUO,NORMAL,FLYING,FLYING,FLYING,35,85,45,75,35,35,310,base,normal,0,
SPECIES_DODRIO,Dodrio,SPECIES_DODRIO,NORMAL,FLYING,FLYING,FLYING,60,110,70,110,60,60,470,base,normal,0,
SPECIES_SEEL,Seel,SPECIES_SEEL,WATER,WATER,WATER_1,FIELD,65,45,55,45,45,70,325,base,normal,0,
SPECIES_DEWGONG,Dewgong,SPECIES_DEWGONG,WATER,ICE,WATER_1,FIELD,90,70,80,70,70,95,475,base,normal,0,
SPECIES_GRIMER,Grimer,SPECIES_GRIMER,POISON,POISON,AMORPHOUS,AMORPHOUS,80,80,50,25,40,50,325,base,normal,0,
SPECIES_MUK,Muk,SPECIES_MUK,POISON,POISON,AMORPHOUS,AMORPHOUS,105,105,75,50,65,100,500,base,normal,0,
SPECIES_SHELLDER,Shellder,SPECIES_SHELLDER,WATER,WATER,WATER_3,WATER_3,30,65,100,40,45,25,305,base,normal,0,
SPECIES_CLOYSTER,Cloyster,SPECIES_CLOYSTER,WATER,ICE,WATER_3,WATER_3,50,95,180,70,85,45,525,base,normal,0,
SPECIES_GASTLY,Gastly,SPECIES_GASTLY,GHOST,POISON,AMORPHOUS,AMORPHOUS,30,35,30,80,100,35,310,base,normal,0,
SPECIES_HAUNTER,Haunter,SPECIES_HAUNTER,GHOST,POISON,AMORPHOUS,AMORPHOUS,45,50,45,95,115,55,405,base,normal,0,
SPECIES_GENGAR,Gengar,SPECIES_GENGAR,GHOST,POISON,AMORPHOUS,AMORPHOUS,60,65,60,110,130,75,500,base,normal,0,
SPECIES_ONIX,Onix,SPECIES_ONIX,ROCK,GROUND,MINERAL,MINERAL,35,45,160,70,30,45,385,base,normal,0,
SPECIES_DROWZEE,Drowzee,SPECIES_DROWZEE,PSYCHIC,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,60,48,45,42,43,90,328,base,normal,0,
SPECIES_HYPNO,Hypno,SPECIES_HYPNO,PSYCHIC,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,85,73,70,67,73,115,483,base,normal,0,
SPECIES_KRABBY,Krabby,SPECIES_KRABBY,WATER,WATER,WATER_3,WATER_3,30,105,90,50,25,25,325,base,normal,0,
SPECIES_KINGLER,Kingler,SPECIES_KINGLER,WATER,WATER,WATER_3,WATER_3,55,130,115,75,50,50,475,base,normal,0,
SPECIES_VOLTORB,Voltorb,SPECIES_VOLTORB,ELECTRIC,ELECTRIC,MINERAL,MINERAL,40,30,50,100,55,55,330,base,normal,0,
SPECIES_ELECTRODE,Electrode,SPECIES_ELECTRODE,ELECTRIC,ELECTRIC,MINERAL,MINERAL,60,50,70,150,80,80,490,base,normal,0,
SPECIES_EXEGGCUTE,Exeggcute,SPECIES_EXEGGCUTE,GRASS,PSYCHIC,GRASS,GRASS,60,40,80,40,60,45,325,base,normal,0,
SPECIES_EXEGGUTOR,Exeggutor,SPECIES_EXEGGUTOR,GRASS,PSYCHIC,GRASS,GRASS,95,95,85,55,125,75,530,base,normal,0,
SPECIES_CUBONE,Cubone,SPECIES_CUBONE,GROUND,GROUND,MONSTER,MONSTER,50,50,95,35,40,50,320,base,normal,0,
SPECIES_MAROWAK,Marowak,SPECIES_MAROWAK,GROUND,GROUND,MONSTER,MONSTER,60,80,110,45,50,80,425,base,normal,0,
SPECIES_HITMONLEE,Hitmonlee,SPECIES_HITMONLEE,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,50,120,53,87,35,110,455,base,normal,0,
SPECIES_HITMONCHAN,Hitmonchan,SPECIES_HITMONCHAN,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,50,105,79,76,35,110,455,base,normal,0,
SPECIES_LICKITUNG,Lickitung,SPECIES_LICKITUNG,NORMAL,NORMAL,MONSTER,MONSTER,90,55,75,30,60,75,385,base,normal,0,
SPECIES_KOFFING,Koffing,SPECIES_KOFFING,POISON,POISON,AMORPHOUS,AMORPHOUS,40,65,95,35,60,45,340,base,normal,0,
SPECIES_WEEZING,Weezing,SPECIES_WEEZING,POISON,POISON,AMORPHOUS,AMORPHOUS,65,90,120,60,85,70,490,base,normal,0,
SPECIES_RHYHORN,Rhyhorn,SPECIES_RHYHORN,GROUND,ROCK,MONSTER,FIELD,80,85,95,25,30,30,345,base,normal,0,
SPECIES_RHYDON,Rhydon,SPECIES_RHYDON,GROUND,ROCK,MONSTER,FIELD,105,130,120,40,45,45,485,base,normal,0,
SPECIES_CHANSEY,Chansey,SPECIES_CHANSEY,NORMAL,NORMAL,FAIRY,FAIRY,250,5,5,50,35,105,450,base,normal,0,
SPECIES_TANGELA,Tangela,SPECIES_TANGELA,GRASS,GRASS,GRASS,GRASS,65,55,115,60,100,40,435,base,normal,0,
SPECIES_KANGASKHAN,Kangaskhan,SPECIES_KANGASKHAN,NORMAL,NORMAL,MONSTER,MONSTER,105,95,80,90,40,80,490,base,normal,0,
SPECIES_HORSEA,Horsea,SPECIES_HORSEA,WATER,WATER,WATER_1,DRAGON,30,40,70,60,70,25,295,base,normal,0,
SPECIES_SEADRA,Seadra,SPECIES_SEADRA,WATER,WATER,WATER_1,DRAGON,55,65,95,85,95,45,440,base,normal,0,
SPECIES_GOLDEEN,Goldeen,SPECIES_GOLDEEN,WATER,WATER,WATER_2,WATER_2,45,67,60,63,35,50,320,base,normal,0,
SPECIES_SEAKING,Seaking,SPECIES_SEAKING,WATER,WATER,WATER_2,WATER_2,80,92,65,68,65,80,450,base,normal,0,
SPECIES_STARYU,Staryu,SPECIES_STARYU,WATER,WATER,WATER_3,WATER_3,30,45,55,85,70,55,340,base,normal,0,
SPECIES_STARMIE,Starmie,SPECIES_STARMIE,WATER,PSYCHIC,WATER_3,WATER_3,60,75,85,115,100,85,520,base,normal,0,
SPECIES_MR_MIME,Mr. Mime,SPECIES_MR_MIME,PSYCHIC,FAIRY,HUMAN_LIKE,HUMAN_LIKE,40,45,65,90,100,120,460,base,normal,0,
SPECIES_SCYTHER,Scyther,SPECIES_SCYTHER,BUG,FLYING,BUG,BUG,70,110,80,105,55,80,500,base,normal,0,
SPECIES_JYNX,Jynx,SPECIES_JYNX,ICE,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,65,50,35,95,115,95,455,base,normal,0,
SPECIES_ELECTABUZZ,Electabuzz,SPECIES_ELECTABUZZ,ELECTRIC,ELECTRIC,HUMAN_LIKE,HUMAN_LIKE,65,83,57,105,95,85,490,base,normal,0,
SPECIES_MAGMAR,Magmar,SPECIES_MAGMAR,FIRE,FIRE,HUMAN_LIKE,HUMAN_LIKE,65,95,57,93,100,85,495,base,normal,0,
SPECIES_PINSIR,Pinsir,SPECIES_PINSIR,BUG,BUG,BUG,BUG,65,125,100,85,55,70,500,base,normal,0,
SPECIES_TAUROS,Tauros,SPECIES_TAUROS,NORMAL,NORMAL,FIELD,FIELD,75,100,95,110,40,70,490,base,normal,0,
SPECIES_MAGIKARP,Magikarp,SPECIES_MAGIKARP,WATER,WATER,WATER_2,DRAGON,20,10,55,80,15,20,200,base,normal,0,
SPECIES_GYARADOS,Gyarados,SPECIES_GYARADOS,WATER,FLYING,WATER_2,DRAGON,95,125,79,81,60,100,540,base,normal,0,
SPECIES_LAPRAS,Lapras,SPECIES_LAPRAS,WATER,ICE,MONSTER,WATER_1,130,85,80,60,85,95,535,base,normal,0,
SPECIES_DITTO,Ditto,SPECIES_DITTO,NORMAL,NORMAL,DITTO,DITTO,48,48,48,48,48,48,288,base,normal,0,
SPECIES_EEVEE,Eevee,SPECIES_EEVEE,NORMAL,NORMAL,FIELD,FIELD,55,55,50,55,45,65,325,base,normal,0,
SPECIES_VAPOREON,Vaporeon,SPECIES_VAPOREON,WATER,WATER,FIELD,FIELD,130,65,60,65,110,95,525,base,normal,0,
SPECIES_JOLTEON,Jolteon,SPECIES_JOLTEON,ELECTRIC,ELECTRIC,FIELD,FIELD,65,65,60,130,110,95,525,base,normal,0,
SPECIES_FLAREON,Flareon,SPECIES_FLAREON,FIRE,FIRE,FIELD,FIELD,65,130,60,65,95,110,525,base,normal,0,
SPECIES_PORYGON,Porygon,SPECIES_PORYGON,NORMAL,NORMAL,MINERAL,MINERAL,65,60,70,40,85,75,395,base,normal,0,
SPECIES_OMANYTE,Omanyte,SPECIES_OMANYTE,ROCK,WATER,WATER_1,WATER_3,35,40,100,35,90,55,355,base,normal,0,
SPECIES_OMASTAR,Omastar,SPECIES_OMASTAR,ROCK,WATER,WATER_1,WATER_3,70,60,125,55,115,70,495,base,normal,0,
SPECIES_KABUTO,Kabuto,SPECIES_KABUTO,ROCK,WATER,WATER_1,WATER_3,30,80,90,55,55,45,355,base,normal,0,
SPECIES_KABUTOPS,Kabutops,SPECIES_KABUTOPS,ROCK,WATER,WATER_1,WATER_3,60,115,105,80,65,70,495,base,normal,0,
SPECIES_AERODACTYL,Aerodactyl,SPECIES_AERODACTYL,ROCK,FLYING,FLYING,FLYING,80,105,65,130,60,75,515,base,normal,0,
SPECIES_SNORLAX,Snorlax,SPECIES_SNORLAX,NORMAL,NORMAL,MONSTER,MONSTER,160,110,65,30,65,110,540,base,normal,0,
SPECIES_ARTICUNO,Articuno,SPECIES_ARTICUNO,ICE,FLYING,UNDISCOVERED,UNDISCOVERED,90,85,100,85,95,125,580,base,sublegend,1,sublegend
SPECIES_ZAPDOS,Zapdos,SPECIES_ZAPDOS,ELECTRIC,FLYING,UNDISCOVERED,UNDISCOVERED,90,90,85,100,125,90,580,base,sublegend,1,sublegend
SPECIES_MOLTRES,Moltres,SPECIES_MOLTRES,FIRE,FLYING,UNDISCOVERED,UNDISCOVERED,90,100,90,90,125,85,580,base,sublegend,1,sublegend
SPECIES_DRATINI,Dratini,SPECIES_DRATINI,DRAGON,DRAGON,WATER_1,DRAGON,41,64,45,50,50,50,300,base,normal,0,
SPECIES_DRAGONAIR,Dragonair,SPECIES_DRAGONAIR,DRAGON,DRAGON,WATER_1,DRAGON,61,84,65,70,70,70,420,base,normal,0,
SPECIES_DRAGONITE,Dragonite,SPECIES_DRAGONITE,DRAGON,FLYING,WATER_1,DRAGON,91,134,95,80,100,100,600,base,normal,0,
SPECIES_MEWTWO,Mewtwo,SPECIES_MEWTWO,PSYCHIC,PSYCHIC,UNDISCOVERED,UNDISCOVERED,106,110,90,130,154,90,680,base,legendary,1,legendary
SPECIES_MEW,Mew,SPECIES_MEW,PSYCHIC,PSYCHIC,UNDISCOVERED,UNDISCOVERED,100,100,100,100,100,100,600,base,mythical,1,mythical
SPECIES_CHIKORITA,Chikorita,SPECIES_CHIKORITA,GRASS,GRASS,MONSTER,GRASS,45,49,65,45,49,65,318,base,normal,0,
SPECIES_BAYLEEF,Bayleef,SPECIES_BAYLEEF,GRASS,GRASS,MONSTER,GRASS,60,62,80,60,63,80,405,base,normal,0,
SPECIES_MEGANIUM,Meganium,SPECIES_MEGANIUM,GRASS,GRASS,MONSTER,GRASS,80,82,100,80,83,100,525,base,normal,0,
SPECIES_CYNDAQUIL,Cyndaquil,SPECIES_CYNDAQUIL,FIRE,FIRE,FIELD,FIELD,39,52,43,65,60,50,309,base,normal,0,
SPECIES_QUILAVA,Quilava,SPECIES_QUILAVA,FIRE,FIRE,FIELD,FIELD,58,64,58,80,80,65,405,base,normal,0,
SPECIES_TYPHLOSION,Typhlosion,SPECIES_TYPHLOSION,FIRE,FIRE,FIELD,FIELD,78,84,78,100,109,85,534,base,normal,0,
SPECIES_TOTODILE,Totodile,SPECIES_TOTODILE,WATER,WATER,MONSTER,WATER_1,50,65,64,43,44,48,314,base,normal,0,
SPECIES_CROCONAW,Croconaw,SPECIES_CROCONAW,WATER,WATER,MONSTER,WATER_1,65,80,80,58,59,63,405,base,normal,0,
SPECIES_FERALIGATR,Feraligatr,SPECIES_FERALIGATR,WATER,WATER,MONSTER,WATER_1,85,105,100,78,79,83,530,base,normal,0,
SPECIES_SENTRET,Sentret,SPECIES_SENTRET,NORMAL,NORMAL,FIELD,FIELD,35,46,34,20,35,45,215,base,normal,0,
SPECIES_FURRET,Furret,SPECIES_FURRET,NORMAL,NORMAL,FIELD,FIELD,85,76,64,90,45,55,415,base,normal,0,
SPECIES_HOOTHOOT,Hoothoot,SPECIES_HOOTHOOT,NORMAL,FLYING,FLYING,FLYING,60,30,30,50,36,56,262,base,normal,0,
SPECIES_NOCTOWL,Noctowl,SPECIES_NOCTOWL,NORMAL,FLYING,FLYING,FLYING,100,50,50,70,86,96,452,base,normal,0,
SPECIES_LEDYBA,Ledyba,SPECIES_LEDYBA,BUG,FLYING,BUG,BUG,40,20,30,55,40,80,265,base,normal,0,
SPECIES_LEDIAN,Ledian,SPECIES_LEDIAN,BUG,FLYING,BUG,BUG,55,35,50,85,55,110,390,base,normal,0,
SPECIES_SPINARAK,Spinarak,SPECIES_SPINARAK,BUG,POISON,BUG,BUG,40,60,40,30,40,40,250,base,normal,0,
SPECIES_ARIADOS,Ariados,SPECIES_ARIADOS,BUG,POISON,BUG,BUG,70,90,70,40,60,70,400,base,normal,0,
SPECIES_CROBAT,Crobat,SPECIES_CROBAT,POISON,FLYING,FLYING,FLYING,85,90,80,130,70,80,535,base,normal,0,
SPECIES_CHINCHOU,Chinchou,SPECIES_CHINCHOU,WATER,ELECTRIC,WATER_2,WATER_2,75,38,38,67,56,56,330,base,normal,0,
SPECIES_LANTURN,Lanturn,SPECIES_LANTURN,WATER,ELECTRIC,WATER_2,WATER_2,125,58,58,67,76,76,460,base,normal,0,
SPECIES_PICHU,Pichu,SPECIES_PICHU,ELECTRIC,ELECTRIC,UNDISCOVERED,UNDISCOVERED,20,40,15,60,35,35,205,base,normal,0,
SPECIES_CLEFFA,Cleffa,SPECIES_CLEFFA,FAIRY,FAIRY,UNDISCOVERED,UNDISCOVERED,50,25,28,15,45,55,218,base,normal,0,
SPECIES_IGGLYBUFF,Igglybuff,SPECIES_IGGLYBUFF,NORMAL,FAIRY,UNDISCOVERED,UNDISCOVERED,90,30,15,15,40,20,210,base,normal,0,
SPECIES_TOGEPI,Togepi,SPECIES_TOGEPI,FAIRY,FAIRY,UNDISCOVERED,UNDISCOVERED,35,20,65,20,40,65,245,base,normal,0,
SPECIES_TOGETIC,Togetic,SPECIES_TOGETIC,FAIRY,FLYING,FLYING,FAIRY,55,40,85,40,80,105,405,base,normal,0,
SPECIES_NATU,Natu,SPECIES_NATU,PSYCHIC,FLYING,FLYING,FLYING,40,50,45,70,70,45,320,base,normal,0,
SPECIES_XATU,Xatu,SPECIES_XATU,PSYCHIC,FLYING,FLYING,FLYING,65,75,70,95,95,70,470,base,normal,0,
SPECIES_MAREEP,Mareep,SPECIES_MAREEP,ELECTRIC,ELECTRIC,MONSTER,FIELD,55,40,40,35,65,45,280,base,normal,0,
