trainer_id,trainer_name,trainer_class,slot,original_species,new_species,bst_delta,shared_types,shared_egggroups,category_rule,mono_type_rule_applied,fallback_tier,unchanged,reason
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,1,SPECIES_SHROODLE,SPECIES_TANDEMAUS,15,NORMAL,FIELD,normal_pool,0,1,0,ok
14,Duncan,TRAINERCLASS_BURGLAR,0,SPECIES_GULPIN,SPECIES_KOFFING,38,POISON,AMORPHOUS,normal_pool,0,1,0,ok
14,Duncan,TRAINERCLASS_BURGLAR,1,SPECIES_ARMAROUGE,SPECIES_MR_RIME,-5,PSYCHIC,HUMAN_LIKE,normal_pool,0,1,0,ok
14,Duncan,TRAINERCLASS_BURGLAR,2,SPECIES_GULPIN,SPECIES_KOFFING,38,POISON,AMORPHOUS,normal_pool,0,1,0,ok
15,Otis,TRAINERCLASS_FIREBREATHER,0,SPECIES_CINDERACE,SPECIES_SIMISEAR,-32,FIRE,FIELD,normal_pool,0,1,0,ok
15,Otis,TRAINERCLASS_FIREBREATHER,1,SPECIES_WEEZING_GALARIAN,SPECIES_MUK_ALOLAN,10,POISON,AMORPHOUS,normal_pool,0,1,0,ok
15,Otis,TRAINERCLASS_FIREBREATHER,2,SPECIES_TORKOAL,SPECIES_MONFERNO,-65,FIRE,FIELD,normal_pool,0,2,0,ok
16,Simon,TRAINERCLASS_SWIMMER_M,0,SPECIES_CORPHISH,SPECIES_PIPLUP,6,WATER,WATER_1,normal_pool,0,1,0,ok
16,Simon,TRAINERCLASS_SWIMMER_M,1,SPECIES_BINACLE,SPECIES_TIRTOUGA,49,"ROCK,WATER",WATER_3,normal_pool,0,2,0,ok
17,Kenji,TRAINERCLASS_BLACK_BELT,0,SPECIES_GURDURR,SPECIES_MONFERNO,0,FIGHTING,HUMAN_LIKE,normal_pool,0,1,0,ok
18,Justin,TRAINERCLASS_FISHERMAN,0,SPECIES_WISHIWASHI,SPECIES_MAGIKARP,25,WATER,WATER_2,normal_pool,0,1,0,ok
18,Justin,TRAINERCLASS_FISHERMAN,1,SPECIES_WISHIWASHI,SPECIES_MAGIKARP,25,WATER,WATER_2,normal_pool,0,1,0,ok
18,Justin,TRAINERCLASS_FISHERMAN,2,SPECIES_WISHIWASHI,SPECIES_MAGIKARP,25,WATER,WATER_2,normal_pool,0,1,0,ok
18,Justin,TRAINERCLASS_FISHERMAN,3,SPECIES_REMORAID,SPECIES_PSYDUCK,20,WATER,WATER_1,normal_pool,0,1,0,ok
19,Mickey,TRAINERCLASS_BIKER,0,SPECIES_GRIMER,SPECIES_GASTLY,-15,POISON,AMORPHOUS,normal_pool,0,1,0,ok
19,Mickey,TRAINERCLASS_BIKER,1,SPECIES_GASTLY,SPECIES_YAMASK,-7,GHOST,AMORPHOUS,normal_pool,0,1,0,ok
19,Mickey,TRAINERCLASS_BIKER,2,SPECIES_GRIMER,SPECIES_GASTLY,-15,POISON,AMORPHOUS,normal_pool,0,1,0,ok
20,Falkner,TRAINERCLASS_LEADER_FALKNER,0,SPECIES_HOOTHOOT,SPECIES_DODUO,48,"FLYING,NORMAL",FLYING,normal_pool,1,2,0,ok
20,Falkner,TRAINERCLASS_LEADER_FALKNER,1,SPECIES_DODUO,SPECIES_SPEAROW,-48,"FLYING,NORMAL",FLYING,normal_pool,1,2,0,ok
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,0,SPECIES_ILLUMISE,SPECIES_BEAUTIFLY,-35,BUG,BUG,normal_pool,1,1,0,ok
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,1,SPECIES_SCATTERBUG,SPECIES_COMBEE,44,BUG,BUG,normal_pool,1,1,0,ok
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,2,SPECIES_CASCOON,SPECIES_SILCOON,0,BUG,BUG,normal_pool,1,1,0,ok
22,Carrie,TRAINERCLASS_LASS,0,SPECIES_FLABEBE,SPECIES_COTTONEE,-23,FAIRY,FAIRY,normal_pool,0,1,0,ok
23,Larry,TRAINERCLASS_POKE_MANIAC,0,SPECIES_KABUTO,SPECIES_STARYU,-15,WATER,WATER_3,normal_pool,0,1,0,ok
24,Alan,TRAINERCLASS_SCHOOL_KID_M,0,SPECIES_LUDICOLO,SPECIES_SLOWKING,10,WATER,WATER_1,normal_pool,0,1,0,ok
25,Russel,TRAINERCLASS_HIKER,0,SPECIES_YAMASK_GALARIAN,SPECIES_POLTCHAGEIST,5,GHOST,"AMORPHOUS,MINERAL",normal_pool,0,1,0,ok
25,Russel,TRAINERCLASS_HIKER,1,SPECIES_NACLSTACK,SPECIES_CARKOL,55,ROCK,MINERAL,normal_pool,0,2,0,ok
25,Russel,TRAINERCLASS_HIKER,2,SPECIES_NACLI,SPECIES_ROLYCOLY,-40,ROCK,MINERAL,normal_pool,0,1,0,ok
26,Roland,TRAINERCLASS_CAMPER,0,SPECIES_EKANS,SPECIES_NIDORAN_M,-15,POISON,FIELD,normal_pool,0,1,0,ok
27,Liz,TRAINERCLASS_PICNICKER,0,SPECIES_SALANDIT,SPECIES_NIDORINO,45,POISON,MONSTER,normal_pool,0,1,0,ok
28,Jake,TRAINERCLASS_ACE_TRAINER_M,0,SPECIES_LEDIAN,SPECIES_ARIADOS,10,BUG,BUG,normal_pool,0,1,0,ok
28,Jake,TRAINERCLASS_ACE_TRAINER_M,1,SPECIES_PELIPPER,SPECIES_LOMBRE,-100,WATER,WATER_1,normal_pool,0,3,0,ok
28,Jake,TRAINERCLASS_ACE_TRAINER_M,2,SPECIES_SAMUROTT_HISUIAN,SPECIES_PALAFIN,-71,WATER,FIELD,normal_pool,0,3,0,ok
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_WOOBAT,SPECIES_RUFFLET,27,FLYING,FLYING,normal_pool,0,1,0,ok
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,1,SPECIES_PIDOVE,SPECIES_STARLY,-19,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,0,SPECIES_JIGGLYPUFF,SPECIES_TANDEMAUS,35,NORMAL,FAIRY,normal_pool,1,1,0,ok
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,1,SPECIES_LINOONE_GALARIAN,SPECIES_RATICATE_ALOLAN,-7,"DARK,NORMAL",FIELD,normal_pool,1,1,0,ok
31,Morty,TRAINERCLASS_LEADER_MORTY,0,SPECIES_DREEPY,SPECIES_SINISTEA,38,GHOST,AMORPHOUS,normal_pool,1,1,0,ok
31,Morty,TRAINERCLASS_LEADER_MORTY,1,SPECIES_DRIFLOON,SPECIES_YAMASK,-45,GHOST,AMORPHOUS,normal_pool,1,1,0,ok
31,Morty,TRAINERCLASS_LEADER_MORTY,2,SPECIES_BANETTE,SPECIES_HAUNTER,-50,GHOST,AMORPHOUS,normal_pool,1,2,0,ok
31,Morty,TRAINERCLASS_LEADER_MORTY,3,SPECIES_SPIRITOMB,SPECIES_DUSKNOIR,40,GHOST,AMORPHOUS,normal_pool,1,1,0,ok
32,Pryce,TRAINERCLASS_LEADER_PRYCE,0,SPECIES_SPHEAL,SPECIES_CUBCHOO,15,ICE,FIELD,normal_pool,1,1,0,ok
32,Pryce,TRAINERCLASS_LEADER_PRYCE,1,SPECIES_SEALEO,SPECIES_SNEASEL,20,ICE,FIELD,normal_pool,1,1,0,ok
32,Pryce,TRAINERCLASS_LEADER_PRYCE,2,SPECIES_DARMANITAN_GALARIAN,SPECIES_NINETALES_ALOLAN,25,ICE,FIELD,normal_pool,1,1,0,ok
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,0,SPECIES_VAROOM,SPECIES_HONEDGE,25,STEEL,MINERAL,normal_pool,1,1,0,ok
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,1,SPECIES_FERROSEED,SPECIES_BRONZOR,-5,STEEL,MINERAL,normal_pool,1,1,0,ok
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,2,SPECIES_AEGISLASH,SPECIES_DOUBLADE,-52,"GHOST,STEEL",MINERAL,normal_pool,1,2,0,ok
34,Chuck,TRAINERCLASS_LEADER_CHUCK,0,SPECIES_MIENSHAO,SPECIES_EMBOAR,18,FIGHTING,FIELD,normal_pool,1,1,0,ok
34,Chuck,TRAINERCLASS_LEADER_CHUCK,1,SPECIES_QUAQUAVAL,SPECIES_DECIDUEYE_HISUIAN,0,FIGHTING,FLYING,normal_pool,1,1,0,ok
35,Clair,TRAINERCLASS_LEADER_CLAIR,0,SPECIES_ALTARIA,SPECIES_NOIVERN,45,"DRAGON,FLYING","DRAGON,FLYING",normal_pool,1,1,0,ok
35,Clair,TRAINERCLASS_LEADER_CLAIR,1,SPECIES_FRAXURE,SPECIES_GABITE,0,DRAGON,"DRAGON,MONSTER",normal_pool,1,1,0,ok
35,Clair,TRAINERCLASS_LEADER_CLAIR,2,SPECIES_FRAXURE,SPECIES_GABITE,0,DRAGON,"DRAGON,MONSTER",normal_pool,1,1,0,ok
35,Clair,TRAINERCLASS_LEADER_CLAIR,3,SPECIES_TURTONATOR,SPECIES_DRAMPA,0,DRAGON,"DRAGON,MONSTER",normal_pool,1,1,0,ok
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,0,SPECIES_ELECTRIKE,SPECIES_MAREEP,-15,ELECTRIC,FIELD,normal_pool,0,1,0,ok
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,1,SPECIES_RELICANTH,SPECIES_LUMINEON,-25,WATER,WATER_2,normal_pool,0,1,0,ok
37,Preston,TRAINERCLASS_GENTLEMAN,0,SPECIES_CROCALOR,SPECIES_RABOOT,9,FIRE,FIELD,normal_pool,0,1,0,ok
37,Preston,TRAINERCLASS_GENTLEMAN,1,SPECIES_MONFERNO,SPECIES_CHIMCHAR,-96,FIRE,"FIELD,HUMAN_LIKE",normal_pool,0,3,0,ok
38,Colette,TRAINERCLASS_TEACHER,0,SPECIES_MAWILE,SPECIES_FLABEBE,-77,FAIRY,FAIRY,normal_pool,0,3,0,ok
39,Eugene,TRAINERCLASS_SAILOR,0,SPECIES_QUAXWELL,SPECIES_CRAMORANT,65,WATER,"FLYING,WATER_1",normal_pool,0,2,0,ok
39,Eugene,TRAINERCLASS_SAILOR,1,SPECIES_WATCHOG,SPECIES_HERDIER,-50,NORMAL,FIELD,normal_pool,0,2,0,ok
39,Eugene,TRAINERCLASS_SAILOR,2,SPECIES_TENTACOOL,SPECIES_KRABBY,-10,WATER,WATER_3,normal_pool,0,1,0,ok
40,Mickey,TRAINERCLASS_SUPER_NERD,0,SPECIES_GASTLY,SPECIES_KOFFING,30,POISON,AMORPHOUS,normal_pool,0,1,0,ok
41,Clyde,TRAINERCLASS_GUITARIST,0,SPECIES_ELECTIVIRE,SPECIES_ELECTABUZZ,-50,ELECTRIC,HUMAN_LIKE,normal_pool,0,2,0,ok
42,Nathan,TRAINERCLASS_PSYCHIC_M,0,SPECIES_KOMALA,SPECIES_DUBWOOL,10,NORMAL,FIELD,normal_pool,0,1,0,ok
43,Chow,TRAINERCLASS_SAGE,0,SPECIES_GOSSIFLEUR,SPECIES_GROOKEY,60,GRASS,GRASS,normal_pool,0,2,0,ok
43,Chow,TRAINERCLASS_SAGE,1,SPECIES_SNOVER,SPECIES_SHROOMISH,-39,GRASS,GRASS,normal_pool,0,1,0,ok
43,Chow,TRAINERCLASS_SAGE,2,SPECIES_ODDISH,SPECIES_PARAS,-35,GRASS,GRASS,normal_pool,0,1,0,ok
44,Derek,TRAINERCLASS_POKEFAN_M,0,SPECIES_MINUN,SPECIES_PACHIRISU,0,ELECTRIC,FAIRY,normal_pool,0,1,0,ok
45,Ruth,TRAINERCLASS_POKEFAN,0,SPECIES_PAWMO,SPECIES_SNEASEL_HISUIAN,80,FIGHTING,FIELD,normal_pool,0,3,0,ok
46,Martha,TRAINERCLASS_MEDIUM,0,SPECIES_PHANTUMP,SPECIES_FRILLISH,26,GHOST,AMORPHOUS,normal_pool,0,1,0,ok
46,Martha,TRAINERCLASS_MEDIUM,1,SPECIES_FRILLISH_FEMALE,SPECIES_YAMASK_GALARIAN,-32,GHOST,AMORPHOUS,normal_pool,0,1,0,ok
46,Martha,TRAINERCLASS_MEDIUM,2,SPECIES_GRIMER_ALOLAN,SPECIES_GULPIN,-23,POISON,AMORPHOUS,normal_pool,0,1,0,ok
47,Mikey,TRAINERCLASS_YOUNGSTER,0,SPECIES_SPEAROW,SPECIES_PIDGEY,-11,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
47,Mikey,TRAINERCLASS_YOUNGSTER,1,SPECIES_WOOLOO,SPECIES_SKWOVET,5,NORMAL,FIELD,normal_pool,0,1,0,ok
48,Rob,TRAINERCLASS_BUG_CATCHER,0,SPECIES_DWEBBLE,SPECIES_LARVESTA,35,BUG,BUG,normal_pool,0,1,0,ok
48,Rob,TRAINERCLASS_BUG_CATCHER,1,SPECIES_SKORUPI,SPECIES_VENIPEDE,-70,"BUG,POISON",BUG,normal_pool,0,2,0,ok
49,Albert,TRAINERCLASS_YOUNGSTER,0,SPECIES_WHISMUR,SPECIES_SLAKOTH,40,NORMAL,FIELD,normal_pool,0,1,0,ok
49,Albert,TRAINERCLASS_YOUNGSTER,1,SPECIES_FLETCHLING,SPECIES_PIDOVE,-14,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
50,Abe,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_ZUBAT,SPECIES_SPEAROW,17,FLYING,FLYING,normal_pool,0,1,0,ok
51,Nico,TRAINERCLASS_SAGE,0,SPECIES_SNOVER,SPECIES_SHROOMISH,-39,GRASS,GRASS,normal_pool,0,1,0,ok
51,Nico,TRAINERCLASS_SAGE,1,SPECIES_SNIVY,SPECIES_COTTONEE,-28,GRASS,GRASS,normal_pool,0,1,0,ok
51,Nico,TRAINERCLASS_SAGE,2,SPECIES_TOEDSCOOL,SPECIES_BRAMBLIN,-60,GRASS,GRASS,normal_pool,0,2,0,ok
52,Edmond,TRAINERCLASS_SAGE,0,SPECIES_SMOLIV,SPECIES_APPLIN,0,GRASS,GRASS,normal_pool,0,1,0,ok
52,Edmond,TRAINERCLASS_SAGE,1,SPECIES_NUZLEAF,SPECIES_LOMBRE,0,GRASS,GRASS,normal_pool,0,1,0,ok
52,Edmond,TRAINERCLASS_SAGE,2,SPECIES_COTTONEE,SPECIES_FOONGUS,14,GRASS,GRASS,normal_pool,0,1,0,ok
53,Jin,TRAINERCLASS_SAGE,0,SPECIES_HOPPIP,SPECIES_LOTAD,-30,GRASS,GRASS,normal_pool,0,1,0,ok
54,Troy,TRAINERCLASS_SAGE,0,SPECIES_BRAMBLIN,SPECIES_SMOLIV,-15,GRASS,GRASS,normal_pool,0,1,0,ok
54,Troy,TRAINERCLASS_SAGE,1,SPECIES_PIKIPEK,SPECIES_NOIBAT,-20,FLYING,FLYING,normal_pool,0,1,0,ok
55,Neal,TRAINERCLASS_SAGE,0,SPECIES_SHROOMISH,SPECIES_NUZLEAF,45,GRASS,GRASS,normal_pool,0,1,0,ok
56,Gordon,TRAINERCLASS_YOUNGSTER,0,SPECIES_SPHEAL,SPECIES_CUBCHOO,15,ICE,FIELD,normal_pool,0,1,0,ok
57,Ralph,TRAINERCLASS_FISHERMAN,0,SPECIES_LUVDISC,SPECIES_BARBOACH,-42,WATER,WATER_2,normal_pool,0,1,0,ok
58,Arnold,TRAINERCLASS_FISHERMAN,0,SPECIES_KRABBY,SPECIES_SHELLDER,-20,WATER,WATER_3,normal_pool,0,1,0,ok
59,Kyle,TRAINERCLASS_FISHERMAN,0,SPECIES_FINNEON,SPECIES_LUVDISC,0,WATER,WATER_2,normal_pool,0,1,0,ok
59,Kyle,TRAINERCLASS_FISHERMAN,1,SPECIES_ALOMOMOLA,SPECIES_RELICANTH,15,WATER,"WATER_1,WATER_2",normal_pool,0,1,0,ok
59,Kyle,TRAINERCLASS_FISHERMAN,2,SPECIES_ARROKUDA,SPECIES_LUVDISC,50,WATER,WATER_2,normal_pool,0,2,0,ok
60,Henry,TRAINERCLASS_FISHERMAN,0,SPECIES_PIPLUP,SPECIES_BUIZEL,16,WATER,"FIELD,WATER_1",normal_pool,0,1,0,ok
60,Henry,TRAINERCLASS_FISHERMAN,1,SPECIES_SQUIRTLE,SPECIES_WARTORTLE,91,WATER,"MONSTER,WATER_1",normal_pool,0,3,0,ok
61,Anthony,TRAINERCLASS_HIKER,0,SPECIES_DWEBBLE,SPECIES_SHEDINJA,-89,BUG,MINERAL,normal_pool,0,3,0,ok
61,Anthony,TRAINERCLASS_HIKER,1,SPECIES_MAKUHITA,SPECIES_MACHOP,68,FIGHTING,HUMAN_LIKE,normal_pool,0,2,0,ok
62,Samuel,TRAINERCLASS_YOUNGSTER,0,SPECIES_ZIGZAGOON_GALARIAN,SPECIES_RATTATA_ALOLAN,13,"DARK,NORMAL",FIELD,normal_pool,0,1,0,ok
62,Samuel,TRAINERCLASS_YOUNGSTER,1,SPECIES_SILICOBRA,SPECIES_KROKOROK,36,GROUND,FIELD,normal_pool,0,1,0,ok
62,Samuel,TRAINERCLASS_YOUNGSTER,2,SPECIES_PIKIPEK,SPECIES_NOIBAT,-20,FLYING,FLYING,normal_pool,0,1,0,ok
62,Samuel,TRAINERCLASS_YOUNGSTER,3,SPECIES_TAILLOW,SPECIES_HOOTHOOT,-8,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
63,Mickey,TRAINERCLASS_TEAM_ROCKET,0,SPECIES_GRIMER,SPECIES_GASTLY,-15,POISON,AMORPHOUS,normal_pool,0,1,0,ok
64,Ian,TRAINERCLASS_YOUNGSTER,0,SPECIES_PAWMO,SPECIES_TOGEDEMARU,85,ELECTRIC,FIELD,normal_pool,0,3,0,ok
64,Ian,TRAINERCLASS_YOUNGSTER,1,SPECIES_WOOPER_PALDEAN,SPECIES_DIGLETT_ALOLAN,55,GROUND,FIELD,normal_pool,0,2,0,ok
65,Gina,TRAINERCLASS_PICNICKER,0,SPECIES_BELLSPROUT,SPECIES_PARAS,-15,GRASS,GRASS,normal_pool,0,1,0,ok
65,Gina,TRAINERCLASS_PICNICKER,1,SPECIES_PETILIL,SPECIES_COTTONEE,0,GRASS,GRASS,normal_pool,0,1,0,ok
65,Gina,TRAINERCLASS_PICNICKER,2,SPECIES_ODDISH,SPECIES_PARAS,-35,GRASS,GRASS,normal_pool,0,1,0,ok
66,Todd,TRAINERCLASS_CAMPER,0,SPECIES_SKRELP,SPECIES_CLAUNCHER,10,WATER,WATER_1,normal_pool,0,1,0,ok
67,Benny,TRAINERCLASS_BUG_CATCHER,0,SPECIES_WIMPOD,SPECIES_CUTIEFLY,74,BUG,BUG,normal_pool,0,3,0,ok
67,Benny,TRAINERCLASS_BUG_CATCHER,1,SPECIES_WEEDLE,SPECIES_KAKUNA,10,"BUG,POISON",BUG,normal_pool,0,1,0,ok
67,Benny,TRAINERCLASS_BUG_CATCHER,2,SPECIES_WORMADAM,SPECIES_MOTHIM,0,BUG,BUG,normal_pool,0,1,0,ok
68,Al,TRAINERCLASS_BUG_CATCHER,0,SPECIES_COMBEE,SPECIES_VENIPEDE,16,BUG,BUG,normal_pool,0,1,0,ok
68,Al,TRAINERCLASS_BUG_CATCHER,1,SPECIES_WURMPLE,SPECIES_SPINARAK,55,BUG,BUG,normal_pool,0,2,0,ok
69,Josh,TRAINERCLASS_BUG_CATCHER,0,SPECIES_SIZZLIPEDE,SPECIES_DEWPIDER,-36,BUG,BUG,normal_pool,0,1,0,ok
70,Samantha,TRAINERCLASS_BEAUTY,0,SPECIES_PATRAT,SPECIES_BIDOOF,-5,NORMAL,FIELD,normal_pool,0,1,0,ok
70,Samantha,TRAINERCLASS_BEAUTY,1,SPECIES_SLAKOTH,SPECIES_ZIGZAGOON,-40,NORMAL,FIELD,normal_pool,0,1,0,ok
71,Cathy,TRAINERCLASS_LASS,0,SPECIES_SWIRLIX,SPECIES_SPRITZEE,0,FAIRY,FAIRY,normal_pool,0,1,0,ok
71,Cathy,TRAINERCLASS_LASS,1,SPECIES_MILCERY,SPECIES_CUTIEFLY,34,FAIRY,FAIRY,normal_pool,0,1,0,ok
71,Cathy,TRAINERCLASS_LASS,2,SPECIES_SKITTY,SPECIES_SMEARGLE,-10,NORMAL,FIELD,normal_pool,0,1,0,ok
72,Bryan,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_TAILLOW,SPECIES_NATU,50,FLYING,FLYING,normal_pool,0,2,0,ok
72,Bryan,TRAINERCLASS_BIRD_KEEPER_GS,1,SPECIES_WATTREL,SPECIES_TADBULB,-8,ELECTRIC,WATER_1,normal_pool,0,1,0,ok
73,Theo,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_DUCKLETT,SPECIES_TYMPOLE,-11,WATER,WATER_1,normal_pool,0,1,0,ok
73,Theo,TRAINERCLASS_BIRD_KEEPER_GS,1,SPECIES_SWABLU,SPECIES_STARAVIA,30,"FLYING,NORMAL",FLYING,normal_pool,0,1,0,ok
73,Theo,TRAINERCLASS_BIRD_KEEPER_GS,2,SPECIES_STARLY,SPECIES_SWABLU,65,"FLYING,NORMAL",FLYING,normal_pool,0,2,0,ok
73,Theo,TRAINERCLASS_BIRD_KEEPER_GS,3,SPECIES_ZUBAT,SPECIES_SPEAROW,17,FLYING,FLYING,normal_pool,0,1,0,ok
73,Theo,TRAINERCLASS_BIRD_KEEPER_GS,4,SPECIES_HOOTHOOT,SPECIES_DODUO,48,"FLYING,NORMAL",FLYING,normal_pool,0,2,0,ok
74,Ivan,TRAINERCLASS_CAMPER,0,SPECIES_PHANPY,SPECIES_NUMEL,-25,GROUND,FIELD,normal_pool,0,1,0,ok
74,Ivan,TRAINERCLASS_CAMPER,1,SPECIES_WOOBAT,SPECIES_SWOOBAT,102,"FLYING,PSYCHIC","FIELD,FLYING",normal_pool,0,3,0,ok
74,Ivan,TRAINERCLASS_CAMPER,2,SPECIES_SWINUB,SPECIES_DELIBIRD,80,ICE,FIELD,normal_pool,0,3,0,ok
75,Elliot,TRAINERCLASS_CAMPER,0,SPECIES_SWINUB,SPECIES_DELIBIRD,80,ICE,FIELD,normal_pool,0,3,0,ok
75,Elliot,TRAINERCLASS_CAMPER,1,SPECIES_PSYDUCK,SPECIES_SLOWPOKE,-5,WATER,WATER_1,normal_pool,0,1,0,ok
76,Brooke,TRAINERCLASS_PICNICKER,0,SPECIES_BLITZLE,SPECIES_SHINX,-32,ELECTRIC,FIELD,normal_pool,0,1,0,ok
77,Kim,TRAINERCLASS_PICNICKER,0,SPECIES_TORCHIC,SPECIES_HOUNDOUR,20,FIRE,FIELD,normal_pool,0,1,0,ok
78,Arnie,TRAINERCLASS_BUG_CATCHER,0,SPECIES_SIZZLIPEDE,SPECIES_WIMPOD,-75,BUG,BUG,normal_pool,0,3,0,ok
