trainer_id,trainer_name,trainer_class,battle_type,party_slot,original_species,level,move1,move2,move3,move4
5,Victoria,TRAINERCLASS_BEAUTY,SINGLE_BATTLE,0,SPECIES_RATTATA,9,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_QUICK_ATTACK,MOVE_FOCUS_ENERGY
5,Victoria,TRAINERCLASS_BEAUTY,SINGLE_BATTLE,1,SPECIES_SLAKOTH,13,MOVE_SCRATCH,MOVE_YAWN,MOVE_ENCORE,MOVE_SLACK_OFF
5,Victoria,TRAINERCLASS_BEAUTY,SINGLE_BATTLE,2,SPECIES_LILLIPUP,16,MOVE_TACKLE,MOVE_WORK_UP,MOVE_BITE,MOVE_RETALIATE
6,Keith,TRAINERCLASS_POLICEMAN,SINGLE_BATTLE,0,SPECIES_VULPIX,17,MOVE_DISABLE,MOVE_QUICK_ATTACK,MOVE_SPITE,MOVE_INCINERATE
7,Irwin,TRAINERCLASS_JUGGLER,SINGLE_BATTLE,0,SPECIES_MAGNEMITE,2,MOVE_TACKLE,MOVE_THUNDER_SHOCK,MOVE_NONE,MOVE_NONE
7,Irwin,TRAINERCLASS_JUGGLER,SINGLE_BATTLE,1,SPECIES_GRAVELER_ALOLAN,6,MOVE_TACKLE,MOVE_DEFENSE_CURL,MOVE_CHARGE,MOVE_ROCK_POLISH
7,Irwin,TRAINERCLASS_JUGGLER,SINGLE_BATTLE,2,SPECIES_GRAVELER_ALOLAN,10,MOVE_TACKLE,MOVE_CHARGE,MOVE_DEFENSE_CURL,MOVE_ROLLOUT
7,Irwin,TRAINERCLASS_JUGGLER,SINGLE_BATTLE,3,SPECIES_MAGNEMITE,14,MOVE_TACKLE,MOVE_SUPERSONIC,MOVE_THUNDER_WAVE,MOVE_ELECTRO_BALL
8,Joey,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,0,SPECIES_BUNNELBY,4,MOVE_MUD_SLAP,MOVE_LEER,MOVE_TACKLE,MOVE_NONE
9,Elaine,TRAINERCLASS_SWIMMER_F,SINGLE_BATTLE,0,SPECIES_BINACLE,21,MOVE_WATER_GUN,MOVE_FURY_CUTTER,MOVE_FURY_SWIPES,MOVE_ANCIENT_POWER
10,Amy & Mimi,TRAINERCLASS_TWINS,DOUBLE_BATTLE,0,SPECIES_CATERPIE,10,MOVE_STRING_SHOT,MOVE_TACKLE,MOVE_BUG_BITE,MOVE_NONE
10,Amy & Mimi,TRAINERCLASS_TWINS,DOUBLE_BATTLE,1,SPECIES_DEWPIDER,10,MOVE_WATER_GUN,MOVE_INFESTATION,MOVE_BUG_BITE,MOVE_BITE
11,Mickey,TRAINERCLASS_KIMONO_GIRL,SINGLE_BATTLE,0,SPECIES_FERROSEED,20,MOVE_METAL_CLAW,MOVE_PIN_MISSILE,MOVE_INGRAIN,MOVE_FLASH_CANNON
11,Mickey,TRAINERCLASS_KIMONO_GIRL,SINGLE_BATTLE,1,SPECIES_CHIMCHAR,20,MOVE_EMBER,MOVE_TAUNT,MOVE_FURY_SWIPES,MOVE_FLAME_WHEEL
11,Mickey,TRAINERCLASS_KIMONO_GIRL,SINGLE_BATTLE,2,SPECIES_BELLSPROUT,18,MOVE_WRAP,MOVE_SLEEP_POWDER,MOVE_POISON_POWDER,MOVE_STUN_SPORE
12,Grunt,TRAINERCLASS_TEAM_ROCKET,SINGLE_BATTLE,0,SPECIES_DEERLING_SUMMER,7,MOVE_TACKLE,MOVE_GROWL,MOVE_SAND_ATTACK,MOVE_NONE
12,Grunt,TRAINERCLASS_TEAM_ROCKET,SINGLE_BATTLE,1,SPECIES_WINGULL,9,MOVE_GROWL,MOVE_WATER_GUN,MOVE_QUICK_ATTACK,MOVE_NONE
12,Grunt,TRAINERCLASS_TEAM_ROCKET,SINGLE_BATTLE,2,SPECIES_SPEAROW,9,MOVE_GROWL,MOVE_PECK,MOVE_LEER,MOVE_ASSURANCE
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,SINGLE_BATTLE,0,SPECIES_SPEAROW,9,MOVE_GROWL,MOVE_PECK,MOVE_LEER,MOVE_ASSURANCE
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,SINGLE_BATTLE,1,SPECIES_SHROODLE,11,MOVE_ACID_SPRAY,MOVE_BITE,MOVE_FURY_SWIPES,MOVE_SWITCHEROO
14,Duncan,TRAINERCLASS_BURGLAR,SINGLE_BATTLE,0,SPECIES_GULPIN,23,MOVE_SLUDGE,MOVE_AMNESIA,MOVE_ACID_SPRAY,MOVE_ENCORE
14,Duncan,TRAINERCLASS_BURGLAR,SINGLE_BATTLE,1,SPECIES_ARMAROUGE,25,MOVE_FIRE_SPIN,MOVE_WILL_O_WISP,MOVE_NIGHT_SHADE,MOVE_FLAME_CHARGE
14,Duncan,TRAINERCLASS_BURGLAR,SINGLE_BATTLE,2,SPECIES_GULPIN,23,MOVE_SLUDGE,MOVE_AMNESIA,MOVE_ACID_SPRAY,MOVE_ENCORE
15,Otis,TRAINERCLASS_FIREBREATHER,SINGLE_BATTLE,0,SPECIES_CINDERACE,43,MOVE_FLAME_CHARGE,MOVE_AGILITY,MOVE_HEADBUTT,MOVE_COUNTER
15,Otis,TRAINERCLASS_FIREBREATHER,SINGLE_BATTLE,1,SPECIES_WEEZING_GALARIAN,40,MOVE_FAIRY_WIND,MOVE_SELF_DESTRUCT,MOVE_SLUDGE_BOMB,MOVE_TOXIC
15,Otis,TRAINERCLASS_FIREBREATHER,SINGLE_BATTLE,2,SPECIES_TORKOAL,47,MOVE_BODY_SLAM,MOVE_IRON_DEFENSE,MOVE_FLAMETHROWER,MOVE_CURSE
16,Simon,TRAINERCLASS_SWIMMER_M,SINGLE_BATTLE,0,SPECIES_CORPHISH,20,MOVE_TAUNT,MOVE_BUBBLE_BEAM,MOVE_KNOCK_OFF,MOVE_DOUBLE_HIT
16,Simon,TRAINERCLASS_SWIMMER_M,SINGLE_BATTLE,1,SPECIES_BINACLE,20,MOVE_WATER_GUN,MOVE_FURY_CUTTER,MOVE_FURY_SWIPES,MOVE_ANCIENT_POWER
17,Kenji,TRAINERCLASS_BLACK_BELT,SINGLE_BATTLE,0,SPECIES_GURDURR,28,MOVE_FOCUS_ENERGY,MOVE_BULK_UP,MOVE_ROCK_SLIDE,MOVE_SLAM
18,Justin,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,0,SPECIES_WISHIWASHI,5,MOVE_WATER_GUN,MOVE_GROWL,MOVE_HELPING_HAND,MOVE_NONE
18,Justin,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,1,SPECIES_WISHIWASHI,5,MOVE_WATER_GUN,MOVE_GROWL,MOVE_HELPING_HAND,MOVE_NONE
18,Justin,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,2,SPECIES_WISHIWASHI,15,MOVE_WATER_GUN,MOVE_HELPING_HAND,MOVE_BEAT_UP,MOVE_BRINE
18,Justin,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,3,SPECIES_REMORAID,5,MOVE_HELPING_HAND,MOVE_WATER_GUN,MOVE_WATER_PULSE,MOVE_NONE
19,Mickey,TRAINERCLASS_BIKER,SINGLE_BATTLE,0,SPECIES_GRIMER,20,MOVE_MUD_SLAP,MOVE_DISABLE,MOVE_SLUDGE,MOVE_MUD_SHOT
19,Mickey,TRAINERCLASS_BIKER,SINGLE_BATTLE,1,SPECIES_GASTLY,20,MOVE_MEAN_LOOK,MOVE_PAYBACK,MOVE_SPITE,MOVE_CURSE
19,Mickey,TRAINERCLASS_BIKER,SINGLE_BATTLE,2,SPECIES_GRIMER,20,MOVE_MUD_SLAP,MOVE_DISABLE,MOVE_SLUDGE,MOVE_MUD_SHOT
20,Falkner,TRAINERCLASS_LEADER_FALKNER,SINGLE_BATTLE,0,SPECIES_HOOTHOOT,9,MOVE_GROWL,MOVE_TACKLE,MOVE_ECHOED_VOICE,MOVE_CONFUSION
20,Falkner,TRAINERCLASS_LEADER_FALKNER,SINGLE_BATTLE,1,SPECIES_DODUO,13,MOVE_GROWL,MOVE_PECK,MOVE_QUICK_ATTACK,MOVE_FURY_ATTACK
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,SINGLE_BATTLE,0,SPECIES_ILLUMISE,17,MOVE_SWEET_SCENT,MOVE_CHARM,MOVE_QUICK_ATTACK,MOVE_STRUGGLE_BUG
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,SINGLE_BATTLE,1,SPECIES_SCATTERBUG,15,MOVE_TACKLE,MOVE_STRING_SHOT,MOVE_STUN_SPORE,MOVE_BUG_BITE
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,SINGLE_BATTLE,2,SPECIES_CASCOON,15,MOVE_HARDEN,MOVE_HARDEN,MOVE_NONE,MOVE_NONE
22,Carrie,TRAINERCLASS_LASS,SINGLE_BATTLE,0,SPECIES_FLABEBE,17,MOVE_VINE_WHIP,MOVE_FAIRY_WIND,MOVE_SAFEGUARD,MOVE_RAZOR_LEAF
23,Larry,TRAINERCLASS_POKE_MANIAC,SINGLE_BATTLE,0,SPECIES_KABUTO,11,MOVE_ABSORB,MOVE_HARDEN,MOVE_SCRATCH,MOVE_SAND_ATTACK
24,Alan,TRAINERCLASS_SCHOOL_KID_M,SINGLE_BATTLE,0,SPECIES_LUDICOLO,17,MOVE_FAKE_OUT,MOVE_RAIN_DANCE,MOVE_BUBBLE_BEAM,MOVE_NONE
25,Russel,TRAINERCLASS_HIKER,SINGLE_BATTLE,0,SPECIES_YAMASK_GALARIAN,4,MOVE_ASTONISH,MOVE_PROTECT,MOVE_HAZE,MOVE_NONE
25,Russel,TRAINERCLASS_HIKER,SINGLE_BATTLE,1,SPECIES_NACLSTACK,6,MOVE_SALT_CURE,MOVE_TACKLE,MOVE_HARDEN,MOVE_ROCK_THROW
25,Russel,TRAINERCLASS_HIKER,SINGLE_BATTLE,2,SPECIES_NACLI,8,MOVE_TACKLE,MOVE_HARDEN,MOVE_ROCK_THROW,MOVE_MUD_SHOT
26,Roland,TRAINERCLASS_CAMPER,SINGLE_BATTLE,0,SPECIES_EKANS,9,MOVE_WRAP,MOVE_LEER,MOVE_POISON_STING,MOVE_BITE
27,Liz,TRAINERCLASS_PICNICKER,SINGLE_BATTLE,0,SPECIES_SALANDIT,8,MOVE_SCRATCH,MOVE_POISON_GAS,MOVE_SMOG,MOVE_NONE
28,Jake,TRAINERCLASS_ACE_TRAINER_M,SINGLE_BATTLE,0,SPECIES_LEDIAN,33,MOVE_ROOST,MOVE_STRUGGLE_BUG,MOVE_BATON_PASS,MOVE_AGILITY
28,Jake,TRAINERCLASS_ACE_TRAINER_M,SINGLE_BATTLE,1,SPECIES_PELIPPER,35,MOVE_STOCKPILE,MOVE_SPIT_UP,MOVE_SWALLOW,MOVE_FLING
28,Jake,TRAINERCLASS_ACE_TRAINER_M,SINGLE_BATTLE,2,SPECIES_SAMUROTT_HISUIAN,33,MOVE_RAZOR_SHELL,MOVE_FURY_CUTTER,MOVE_WATER_PULSE,MOVE_AERIAL_ACE
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,SINGLE_BATTLE,0,SPECIES_WOOBAT,7,MOVE_GUST,MOVE_ATTRACT,MOVE_CONFUSION,MOVE_NONE
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,SINGLE_BATTLE,1,SPECIES_PIDOVE,7,MOVE_GUST,MOVE_GROWL,MOVE_LEER,MOVE_NONE
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,SINGLE_BATTLE,0,SPECIES_JIGGLYPUFF,17,MOVE_STOCKPILE,MOVE_SPIT_UP,MOVE_SWALLOW,MOVE_ROUND
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,SINGLE_BATTLE,1,SPECIES_LINOONE_GALARIAN,19,MOVE_SNARL,MOVE_HEADBUTT,MOVE_HONE_CLAWS,MOVE_FURY_SWIPES
31,Morty,TRAINERCLASS_LEADER_MORTY,SINGLE_BATTLE,0,SPECIES_DREEPY,21,MOVE_BITE,MOVE_QUICK_ATTACK,MOVE_ASTONISH,MOVE_INFESTATION
31,Morty,TRAINERCLASS_LEADER_MORTY,SINGLE_BATTLE,1,SPECIES_DRIFLOON,21,MOVE_FOCUS_ENERGY,MOVE_PAYBACK,MOVE_HEX,MOVE_SHADOW_BALL
31,Morty,TRAINERCLASS_LEADER_MORTY,SINGLE_BATTLE,2,SPECIES_BANETTE,25,MOVE_SPITE,MOVE_WILL_O_WISP,MOVE_SHADOW_SNEAK,MOVE_HEX
31,Morty,TRAINERCLASS_LEADER_MORTY,SINGLE_BATTLE,3,SPECIES_SPIRITOMB,23,MOVE_SHADOW_SNEAK,MOVE_SPITE,MOVE_PAYBACK,MOVE_NASTY_PLOT
32,Pryce,TRAINERCLASS_LEADER_PRYCE,SINGLE_BATTLE,0,SPECIES_SPHEAL,30,MOVE_REST,MOVE_SNORE,MOVE_BRINE,MOVE_AURORA_BEAM
32,Pryce,TRAINERCLASS_LEADER_PRYCE,SINGLE_BATTLE,1,SPECIES_SEALEO,32,MOVE_REST,MOVE_SNORE,MOVE_BRINE,MOVE_AURORA_BEAM
32,Pryce,TRAINERCLASS_LEADER_PRYCE,SINGLE_BATTLE,2,SPECIES_DARMANITAN_GALARIAN,34,MOVE_HEADBUTT,MOVE_FIRE_PUNCH,MOVE_ICE_PUNCH,MOVE_UPROAR
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,SINGLE_BATTLE,0,SPECIES_VAROOM,30,MOVE_GYRO_BALL,MOVE_HEADBUTT,MOVE_SCREECH,MOVE_IRON_HEAD
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,SINGLE_BATTLE,1,SPECIES_FERROSEED,30,MOVE_INGRAIN,MOVE_FLASH_CANNON,MOVE_IRON_HEAD,MOVE_SELF_DESTRUCT
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,SINGLE_BATTLE,2,SPECIES_AEGISLASH,35,MOVE_AERIAL_ACE,MOVE_POWER_TRICK,MOVE_RETALIATE,MOVE_KINGS_SHIELD
34,Chuck,TRAINERCLASS_LEADER_CHUCK,SINGLE_BATTLE,0,SPECIES_MIENSHAO,29,MOVE_POUND,MOVE_FURY_SWIPES,MOVE_WIDE_GUARD,MOVE_FORCE_PALM
34,Chuck,TRAINERCLASS_LEADER_CHUCK,SINGLE_BATTLE,1,SPECIES_QUAQUAVAL,31,MOVE_WATER_PULSE,MOVE_LOW_SWEEP,MOVE_AQUA_CUTTER,MOVE_AIR_SLASH
35,Clair,TRAINERCLASS_LEADER_CLAIR,SINGLE_BATTLE,0,SPECIES_ALTARIA,38,MOVE_SAFEGUARD,MOVE_SING,MOVE_COTTON_GUARD,MOVE_TAKE_DOWN
35,Clair,TRAINERCLASS_LEADER_CLAIR,SINGLE_BATTLE,1,SPECIES_FRAXURE,38,MOVE_DRAGON_DANCE,MOVE_BREAKING_SWIPE,MOVE_FOCUS_ENERGY,MOVE_DRAGON_PULSE
35,Clair,TRAINERCLASS_LEADER_CLAIR,SINGLE_BATTLE,2,SPECIES_FRAXURE,38,MOVE_DRAGON_DANCE,MOVE_BREAKING_SWIPE,MOVE_FOCUS_ENERGY,MOVE_DRAGON_PULSE
35,Clair,TRAINERCLASS_LEADER_CLAIR,SINGLE_BATTLE,3,SPECIES_TURTONATOR,41,MOVE_DRAGON_PULSE,MOVE_BODY_SLAM,MOVE_FLAMETHROWER,MOVE_SHELL_TRAP
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,SINGLE_BATTLE,0,SPECIES_ELECTRIKE,36,MOVE_THUNDER_FANG,MOVE_ROAR,MOVE_DISCHARGE,MOVE_CHARGE
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,SINGLE_BATTLE,1,SPECIES_RELICANTH,36,MOVE_DIVE,MOVE_TAKE_DOWN,MOVE_AQUA_TAIL,MOVE_REST
37,Preston,TRAINERCLASS_GENTLEMAN,SINGLE_BATTLE,0,SPECIES_CROCALOR,18,MOVE_ROUND,MOVE_BITE,MOVE_YAWN,MOVE_INCINERATE
37,Preston,TRAINERCLASS_GENTLEMAN,SINGLE_BATTLE,1,SPECIES_MONFERNO,18,MOVE_SCRATCH,MOVE_EMBER,MOVE_TAUNT,MOVE_FURY_SWIPES
38,Colette,TRAINERCLASS_TEACHER,SINGLE_BATTLE,0,SPECIES_MAWILE,45,MOVE_SWEET_SCENT,MOVE_IRON_HEAD,MOVE_TAUNT,MOVE_FAKE_TEARS
39,Eugene,TRAINERCLASS_SAILOR,SINGLE_BATTLE,0,SPECIES_QUAXWELL,17,MOVE_WORK_UP,MOVE_WING_ATTACK,MOVE_AQUA_JET,MOVE_WATER_PULSE
39,Eugene,TRAINERCLASS_SAILOR,SINGLE_BATTLE,1,SPECIES_WATCHOG,17,MOVE_BIDE,MOVE_DETECT,MOVE_SAND_ATTACK,MOVE_CRUNCH
39,Eugene,TRAINERCLASS_SAILOR,SINGLE_BATTLE,2,SPECIES_TENTACOOL,19,MOVE_ACID,MOVE_WRAP,MOVE_SUPERSONIC,MOVE_WATER_PULSE
40,Mickey,TRAINERCLASS_SUPER_NERD,SINGLE_BATTLE,0,SPECIES_GASTLY,20,MOVE_MEAN_LOOK,MOVE_PAYBACK,MOVE_SPITE,MOVE_CURSE
41,Clyde,TRAINERCLASS_GUITARIST,SINGLE_BATTLE,0,SPECIES_ELECTIVIRE,42,MOVE_SCREECH,MOVE_THUNDER_PUNCH,MOVE_DISCHARGE,MOVE_LOW_KICK
42,Nathan,TRAINERCLASS_PSYCHIC_M,SINGLE_BATTLE,0,SPECIES_KOMALA,26,MOVE_RAPID_SPIN,MOVE_YAWN,MOVE_SLAM,MOVE_FLAIL
43,Chow,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_GOSSIFLEUR,3,MOVE_LEAFAGE,MOVE_SING,MOVE_NONE,MOVE_NONE
43,Chow,TRAINERCLASS_SAGE,SINGLE_BATTLE,1,SPECIES_SNOVER,3,MOVE_LEER,MOVE_POWDER_SNOW,MOVE_NONE,MOVE_NONE
43,Chow,TRAINERCLASS_SAGE,SINGLE_BATTLE,2,SPECIES_ODDISH,3,MOVE_ABSORB,MOVE_GROWTH,MOVE_NONE,MOVE_NONE
44,Derek,TRAINERCLASS_POKEFAN_M,SINGLE_BATTLE,0,SPECIES_MINUN,18,MOVE_SPARK,MOVE_ENCORE,MOVE_SWITCHEROO,MOVE_SWIFT
45,Ruth,TRAINERCLASS_POKEFAN,SINGLE_BATTLE,0,SPECIES_PAWMO,17,MOVE_QUICK_ATTACK,MOVE_CHARGE,MOVE_NUZZLE,MOVE_DIG
46,Martha,TRAINERCLASS_MEDIUM,SINGLE_BATTLE,0,SPECIES_PHANTUMP,18,MOVE_BRANCH_POKE,MOVE_LEECH_SEED,MOVE_CONFUSE_RAY,MOVE_WILL_O_WISP
46,Martha,TRAINERCLASS_MEDIUM,SINGLE_BATTLE,1,SPECIES_FRILLISH_FEMALE,20,MOVE_NIGHT_SHADE,MOVE_WATER_PULSE,MOVE_RAIN_DANCE,MOVE_HEX
46,Martha,TRAINERCLASS_MEDIUM,SINGLE_BATTLE,2,SPECIES_GRIMER_ALOLAN,20,MOVE_BITE,MOVE_DISABLE,MOVE_ACID_SPRAY,MOVE_POISON_FANG
47,Mikey,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,0,SPECIES_SPEAROW,2,MOVE_GROWL,MOVE_PECK,MOVE_NONE,MOVE_NONE
47,Mikey,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,1,SPECIES_WOOLOO,4,MOVE_TACKLE,MOVE_GROWL,MOVE_DEFENSE_CURL,MOVE_NONE
48,Rob,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,0,SPECIES_DWEBBLE,40,MOVE_STEALTH_ROCK,MOVE_ROCK_BLAST,MOVE_X_SCISSOR,MOVE_ROCK_POLISH
48,Rob,TRAINERCLASS_BUG_CATCHER,SINGLE_BATTLE,1,SPECIES_SKORUPI,39,MOVE_PIN_MISSILE,MOVE_TOXIC,MOVE_NIGHT_SLASH,MOVE_CROSS_POISON
49,Albert,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,0,SPECIES_WHISMUR,6,MOVE_ASTONISH,MOVE_POUND,MOVE_ECHOED_VOICE,MOVE_NONE
49,Albert,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,1,SPECIES_FLETCHLING,8,MOVE_GROWL,MOVE_PECK,MOVE_QUICK_ATTACK,MOVE_NONE
50,Abe,TRAINERCLASS_BIRD_KEEPER_GS,SINGLE_BATTLE,0,SPECIES_ZUBAT,9,MOVE_ABSORB,MOVE_SUPERSONIC,MOVE_ASTONISH,MOVE_NONE
51,Nico,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_SNOVER,3,MOVE_LEER,MOVE_POWDER_SNOW,MOVE_NONE,MOVE_NONE
51,Nico,TRAINERCLASS_SAGE,SINGLE_BATTLE,1,SPECIES_SNIVY,3,MOVE_TACKLE,MOVE_NONE,MOVE_NONE,MOVE_NONE
51,Nico,TRAINERCLASS_SAGE,SINGLE_BATTLE,2,SPECIES_TOEDSCOOL,3,MOVE_WRAP,MOVE_MUD_SLAP,MOVE_NONE,MOVE_NONE
52,Edmond,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_SMOLIV,3,MOVE_TACKLE,MOVE_SWEET_SCENT,MOVE_NONE,MOVE_NONE
52,Edmond,TRAINERCLASS_SAGE,SINGLE_BATTLE,1,SPECIES_NUZLEAF,3,MOVE_EXPLOSION,MOVE_TACKLE,MOVE_SWAGGER,MOVE_ABSORB
52,Edmond,TRAINERCLASS_SAGE,SINGLE_BATTLE,2,SPECIES_COTTONEE,3,MOVE_HELPING_HAND,MOVE_ABSORB,MOVE_FAIRY_WIND,MOVE_NONE
53,Jin,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_HOPPIP,6,MOVE_SPLASH,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_ABSORB
54,Troy,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_BRAMBLIN,7,MOVE_DEFENSE_CURL,MOVE_ROLLOUT,MOVE_ASTONISH,MOVE_ABSORB
54,Troy,TRAINERCLASS_SAGE,SINGLE_BATTLE,1,SPECIES_PIKIPEK,7,MOVE_PECK,MOVE_GROWL,MOVE_ECHOED_VOICE,MOVE_NONE
55,Neal,TRAINERCLASS_SAGE,SINGLE_BATTLE,0,SPECIES_SHROOMISH,6,MOVE_TACKLE,MOVE_ABSORB,MOVE_STUN_SPORE,MOVE_NONE
56,Gordon,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,0,SPECIES_SPHEAL,10,MOVE_DEFENSE_CURL,MOVE_ROLLOUT,MOVE_GROWL,MOVE_WATER_GUN
57,Ralph,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,0,SPECIES_LUVDISC,10,MOVE_TACKLE,MOVE_CHARM,MOVE_WATER_GUN,MOVE_AGILITY
58,Arnold,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,0,SPECIES_KRABBY,44,MOVE_RAZOR_SHELL,MOVE_SLAM,MOVE_SWORDS_DANCE,MOVE_CRABHAMMER
59,Kyle,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,0,SPECIES_FINNEON,39,MOVE_ATTRACT,MOVE_SAFEGUARD,MOVE_AQUA_RING,MOVE_WHIRLPOOL
59,Kyle,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,1,SPECIES_ALOMOMOLA,35,MOVE_PROTECT,MOVE_WATER_PULSE,MOVE_HEALING_WISH,MOVE_SOAK
59,Kyle,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,2,SPECIES_ARROKUDA,39,MOVE_AGILITY,MOVE_DIVE,MOVE_FOCUS_ENERGY,MOVE_CRUNCH
60,Henry,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,0,SPECIES_PIPLUP,8,MOVE_POUND,MOVE_GROWL,MOVE_WATER_GUN,MOVE_NONE
60,Henry,TRAINERCLASS_FISHERMAN,SINGLE_BATTLE,1,SPECIES_SQUIRTLE,8,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_WATER_GUN,MOVE_WITHDRAW
61,Anthony,TRAINERCLASS_HIKER,SINGLE_BATTLE,0,SPECIES_DWEBBLE,11,MOVE_FURY_CUTTER,MOVE_SAND_ATTACK,MOVE_WITHDRAW,MOVE_SMACK_DOWN
61,Anthony,TRAINERCLASS_HIKER,SINGLE_BATTLE,1,SPECIES_MAKUHITA,11,MOVE_FOCUS_ENERGY,MOVE_SAND_ATTACK,MOVE_ARM_THRUST,MOVE_FAKE_OUT
62,Samuel,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,0,SPECIES_ZIGZAGOON_GALARIAN,7,MOVE_TACKLE,MOVE_LEER,MOVE_SAND_ATTACK,MOVE_LICK
62,Samuel,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,1,SPECIES_SILICOBRA,10,MOVE_SAND_ATTACK,MOVE_WRAP,MOVE_MINIMIZE,MOVE_BRUTAL_SWING
62,Samuel,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,2,SPECIES_PIKIPEK,8,MOVE_PECK,MOVE_GROWL,MOVE_ECHOED_VOICE,MOVE_NONE
62,Samuel,TRAINERCLASS_YOUNGSTER,SINGLE_BATTLE,3,SPECIES_TAILLOW,8,MOVE_GROWL,MOVE_PECK,MOVE_FOCUS_ENERGY,MOVE_NONE
63,Mickey,TRAINERCLASS_TEAM_ROCKET,SINGLE_BATTLE,0,SPECIES_GRIMER,14,MOVE_POUND,MOVE_HARDEN,MOVE_MUD_SLAP,MOVE_DISABLE
