original_species,candidate_species,shared_types,shared_egggroups,bst_delta,category_rule,fallback_tier
SPECIES_ABOMASNOW,SPECIES_TOEDSCRUEL,GRASS,GRASS,21,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_AURORUS,ICE,MONSTER,27,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_AMOONGUSS,GRASS,GRASS,-30,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_VENUSAUR,GRASS,"GRASS,MONSTER",31,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_MEGANIUM,GRASS,"GRASS,MONSTER",31,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_TORTERRA,GRASS,"GRASS,MONSTER",31,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_MARACTUS,GRASS,GRASS,-33,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_JUMPLUFF,GRASS,GRASS,-34,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_BRELOOM,GRASS,GRASS,-34,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_TROPIUS,GRASS,"GRASS,MONSTER",-34,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_SERPERIOR,GRASS,GRASS,34,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_ELDEGOSS,GRASS,GRASS,-34,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_EXEGGUTOR,GRASS,GRASS,36,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_SCEPTILE,GRASS,MONSTER,36,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_RILLABOOM,GRASS,GRASS,36,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_MEOWSCARADA,GRASS,GRASS,36,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_EXEGGUTOR_ALOLAN,GRASS,GRASS,36,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_CARNIVINE,GRASS,GRASS,-40,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_LAPRAS,ICE,MONSTER,41,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_TANGROWTH,GRASS,GRASS,41,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_CHERRIM,GRASS,GRASS,-44,normal_pool,1
SPECIES_ABOMASNOW,SPECIES_HYDRAPPLE,GRASS,GRASS,46,normal_pool,2
SPECIES_ABOMASNOW,SPECIES_TANGELA,GRASS,GRASS,-59,normal_pool,2
SPECIES_ABOMASNOW,SPECIES_SUNFLORA,GRASS,GRASS,-69,normal_pool,2
SPECIES_ABOMASNOW,SPECIES_THWACKEY,GRASS,GRASS,-74,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_SERVINE,GRASS,GRASS,-81,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_FLORAGATO,GRASS,GRASS,-84,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_IVYSAUR,GRASS,"GRASS,MONSTER",-89,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_PARASECT,GRASS,GRASS,-89,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_BAYLEEF,GRASS,"GRASS,MONSTER",-89,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_GROVYLE,GRASS,MONSTER,-89,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_GROTLE,GRASS,"GRASS,MONSTER",-89,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_ROSELIA,GRASS,GRASS,-94,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_GLOOM,GRASS,GRASS,-99,normal_pool,3
SPECIES_ABOMASNOW,SPECIES_WEEPINBELL,GRASS,GRASS,-104,normal_pool,3
SPECIES_ABRA,SPECIES_DROWZEE,PSYCHIC,HUMAN_LIKE,18,normal_pool,1
SPECIES_ABRA,SPECIES_GOTHITA,PSYCHIC,HUMAN_LIKE,-20,normal_pool,1
SPECIES_ABRA,SPECIES_ELGYEM,PSYCHIC,HUMAN_LIKE,25,normal_pool,1
SPECIES_ABRA,SPECIES_MEDITITE,PSYCHIC,HUMAN_LIKE,-30,normal_pool,1
SPECIES_ABRA,SPECIES_KIRLIA,PSYCHIC,HUMAN_LIKE,-32,normal_pool,1
SPECIES_ABRA,SPECIES_GOTHORITA,PSYCHIC,HUMAN_LIKE,80,normal_pool,3
SPECIES_ABRA,SPECIES_KADABRA,PSYCHIC,HUMAN_LIKE,90,normal_pool,3
SPECIES_ABRA,SPECIES_MEDICHAM,PSYCHIC,HUMAN_LIKE,100,normal_pool,3
SPECIES_ABSOL,SPECIES_THIEVUL,DARK,FIELD,-10,normal_pool,1
SPECIES_ABSOL,SPECIES_SKUNTANK,DARK,FIELD,14,normal_pool,1
SPECIES_ABSOL,SPECIES_SHIFTRY,DARK,FIELD,15,normal_pool,1
SPECIES_ABSOL,SPECIES_LIEPARD,DARK,FIELD,-19,normal_pool,1
SPECIES_ABSOL,SPECIES_SCRAFTY,DARK,FIELD,23,normal_pool,1
SPECIES_ABSOL,SPECIES_PERSIAN_ALOLAN,DARK,FIELD,-25,normal_pool,1
SPECIES_ABSOL,SPECIES_MORPEKO,DARK,FIELD,-29,normal_pool,1
SPECIES_ABSOL,SPECIES_PANGORO,DARK,FIELD,30,normal_pool,1
SPECIES_ABSOL,SPECIES_SNEASEL,DARK,FIELD,-35,normal_pool,1
SPECIES_ABSOL,SPECIES_HOUNDOOM,DARK,FIELD,35,normal_pool,1
SPECIES_ABSOL,SPECIES_MABOSSTIFF,DARK,FIELD,40,normal_pool,1
SPECIES_ABSOL,SPECIES_MIGHTYENA,DARK,FIELD,-45,normal_pool,1
SPECIES_ABSOL,SPECIES_WEAVILE,DARK,FIELD,45,normal_pool,1
SPECIES_ABSOL,SPECIES_ZOROARK,DARK,FIELD,45,normal_pool,1
SPECIES_ABSOL,SPECIES_LINOONE_GALARIAN,DARK,FIELD,-45,normal_pool,1
SPECIES_ABSOL,SPECIES_RATICATE_ALOLAN,DARK,FIELD,-52,normal_pool,2
SPECIES_ABSOL,SPECIES_RATICATE_ALOLAN_LARGE,DARK,FIELD,-52,normal_pool,2
SPECIES_ABSOL,SPECIES_KROOKODILE,DARK,FIELD,54,normal_pool,2
SPECIES_ABSOL,SPECIES_OBSTAGOON,DARK,FIELD,55,normal_pool,2
SPECIES_ABSOL,SPECIES_UMBREON,DARK,FIELD,60,normal_pool,2
SPECIES_ABSOL,SPECIES_SAMUROTT_HISUIAN,DARK,FIELD,63,normal_pool,2
SPECIES_ABSOL,SPECIES_INCINEROAR,DARK,FIELD,65,normal_pool,2
SPECIES_ABSOL,SPECIES_MEOWSCARADA,DARK,FIELD,65,normal_pool,2
SPECIES_ACCELGOR,SPECIES_ESCAVALIER,BUG,BUG,0,normal_pool,1
SPECIES_ACCELGOR,SPECIES_SCYTHER,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_PINSIR,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_SCIZOR,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_HERACROSS,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_LEAVANNY,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_VIKAVOLT,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_KLEAVOR,BUG,BUG,5,normal_pool,1
SPECIES_ACCELGOR,SPECIES_SHUCKLE,BUG,BUG,10,normal_pool,1
SPECIES_ACCELGOR,SPECIES_SCOLIPEDE,BUG,BUG,-10,normal_pool,1
SPECIES_ACCELGOR,SPECIES_CRUSTLE,BUG,BUG,-10,normal_pool,1
SPECIES_ACCELGOR,SPECIES_ORBEETLE,BUG,BUG,10,normal_pool,1
SPECIES_ACCELGOR,SPECIES_DURANT,BUG,BUG,-11,normal_pool,1
SPECIES_ACCELGOR,SPECIES_YANMEGA,BUG,BUG,20,normal_pool,1
SPECIES_ACCELGOR,SPECIES_FROSMOTH,BUG,BUG,-20,normal_pool,1
SPECIES_ACCELGOR,SPECIES_VESPIQUEN,BUG,BUG,-21,normal_pool,1
SPECIES_ACCELGOR,SPECIES_GALVANTULA,BUG,BUG,-23,normal_pool,1
SPECIES_ACCELGOR,SPECIES_RABSCA,BUG,BUG,-25,normal_pool,1
SPECIES_ACCELGOR,SPECIES_FORRETRESS,BUG,BUG,-30,normal_pool,1
SPECIES_ACCELGOR,SPECIES_CENTISKORCH,BUG,BUG,30,normal_pool,1
SPECIES_ACCELGOR,SPECIES_RIBOMBEE,BUG,BUG,-31,normal_pool,1
SPECIES_ACCELGOR,SPECIES_GOLISOPOD,BUG,BUG,35,normal_pool,1
SPECIES_ACCELGOR,SPECIES_NINJASK,BUG,BUG,-39,normal_pool,1
SPECIES_ACCELGOR,SPECIES_MASQUERAIN,BUG,BUG,-41,normal_pool,1
SPECIES_ACCELGOR,SPECIES_ARAQUANID,BUG,BUG,-41,normal_pool,1
SPECIES_ACCELGOR,SPECIES_VENOMOTH,BUG,BUG,-45,normal_pool,1
SPECIES_ACCELGOR,SPECIES_LOKIX,BUG,BUG,-45,normal_pool,1
SPECIES_ACCELGOR,SPECIES_VOLCARONA,BUG,BUG,55,normal_pool,2
SPECIES_ACCELGOR,SPECIES_VOLBEAT,BUG,BUG,-65,normal_pool,2
SPECIES_ACCELGOR,SPECIES_ILLUMISE,BUG,BUG,-65,normal_pool,2
SPECIES_ACCELGOR,SPECIES_WORMADAM,BUG,BUG,-71,normal_pool,3
SPECIES_ACCELGOR,SPECIES_MOTHIM,BUG,BUG,-71,normal_pool,3
SPECIES_ACCELGOR,SPECIES_WORMADAM_SANDY,BUG,BUG,-71,normal_pool,3
SPECIES_ACCELGOR,SPECIES_WORMADAM_TRASHY,BUG,BUG,-71,normal_pool,3
SPECIES_ACCELGOR,SPECIES_VIVILLON,BUG,BUG,-84,normal_pool,3
SPECIES_ACCELGOR,SPECIES_PARASECT,BUG,BUG,-90,normal_pool,3
SPECIES_ACCELGOR,SPECIES_SPIDOPS,BUG,BUG,-91,normal_pool,3
SPECIES_ACCELGOR,SPECIES_ARIADOS,BUG,BUG,-95,normal_pool,3
SPECIES_ACCELGOR,SPECIES_CHARJABUG,BUG,BUG,-95,normal_pool,3
SPECIES_ACCELGOR,SPECIES_BUTTERFREE,BUG,BUG,-100,normal_pool,3
SPECIES_ACCELGOR,SPECIES_BEEDRILL,BUG,BUG,-100,normal_pool,3
SPECIES_ACCELGOR,SPECIES_BEAUTIFLY,BUG,BUG,-100,normal_pool,3
SPECIES_ACCELGOR,SPECIES_LEDIAN,BUG,BUG,-105,normal_pool,3
SPECIES_ACCELGOR,SPECIES_YANMA,BUG,BUG,-105,normal_pool,3
SPECIES_AEGISLASH,SPECIES_BRONZONG,STEEL,MINERAL,0,normal_pool,1
SPECIES_AEGISLASH,SPECIES_COPPERAJAH,STEEL,MINERAL,0,normal_pool,1
SPECIES_AEGISLASH,SPECIES_REVAVROOM,STEEL,MINERAL,0,normal_pool,1
SPECIES_AEGISLASH,SPECIES_POLTEAGEIST,GHOST,MINERAL,8,normal_pool,1
SPECIES_AEGISLASH,SPECIES_SINISTCHA,GHOST,MINERAL,8,normal_pool,1
SPECIES_AEGISLASH,SPECIES_STEELIX,STEEL,MINERAL,10,normal_pool,1
SPECIES_AEGISLASH,SPECIES_FERROTHORN,STEEL,MINERAL,-11,normal_pool,1
SPECIES_AEGISLASH,SPECIES_COFAGRIGUS,GHOST,MINERAL,-17,normal_pool,1
SPECIES_AEGISLASH,SPECIES_GOLURK,GHOST,MINERAL,-17,normal_pool,1
SPECIES_AEGISLASH,SPECIES_DHELMISE,GHOST,MINERAL,17,normal_pool,1
SPECIES_AEGISLASH,SPECIES_RUNERIGUS,GHOST,MINERAL,-17,normal_pool,1
SPECIES_AEGISLASH,SPECIES_FROSLASS,GHOST,MINERAL,-20,normal_pool,1
SPECIES_AEGISLASH,SPECIES_KLINKLANG,STEEL,MINERAL,20,normal_pool,1
SPECIES_AEGISLASH,SPECIES_PROBOPASS,STEEL,MINERAL,25,normal_pool,1
SPECIES_AEGISLASH,SPECIES_KLEFKI,STEEL,MINERAL,-30,normal_pool,1
SPECIES_AEGISLASH,SPECIES_MAGNETON,STEEL,MINERAL,-35,normal_pool,1
SPECIES_AEGISLASH,SPECIES_MAGNEZONE,STEEL,MINERAL,35,normal_pool,1
SPECIES_AEGISLASH,SPECIES_DURALUDON,STEEL,MINERAL,35,normal_pool,1
SPECIES_AEGISLASH,SPECIES_DOUBLADE,"GHOST,STEEL",MINERAL,-52,normal_pool,2
SPECIES_AEGISLASH,SPECIES_KLANG,STEEL,MINERAL,-60,normal_pool,2
SPECIES_AEGISLASH,SPECIES_METANG,STEEL,MINERAL,-80,normal_pool,3
SPECIES_AEGISLASH,SPECIES_METAGROSS,STEEL,MINERAL,100,normal_pool,3
SPECIES_AEGISLASH,SPECIES_ARCHALUDON,STEEL,MINERAL,100,normal_pool,3
SPECIES_AERODACTYL,SPECIES_BRAVIARY,FLYING,FLYING,-5,normal_pool,1
SPECIES_AERODACTYL,SPECIES_MANDIBUZZ,FLYING,FLYING,-5,normal_pool,1
SPECIES_AERODACTYL,SPECIES_BRAVIARY_HISUIAN,FLYING,FLYING,-5,normal_pool,1
SPECIES_AERODACTYL,SPECIES_HONCHKROW,FLYING,FLYING,-10,normal_pool,1
SPECIES_AERODACTYL,SPECIES_HAWLUCHA,FLYING,FLYING,-15,normal_pool,1
SPECIES_AERODACTYL,SPECIES_FLAMIGO,FLYING,FLYING,-15,normal_pool,1
SPECIES_AERODACTYL,SPECIES_TALONFLAME,FLYING,FLYING,-16,normal_pool,1
SPECIES_AERODACTYL,SPECIES_CROBAT,FLYING,FLYING,20,normal_pool,1
SPECIES_AERODACTYL,SPECIES_NOIVERN,FLYING,FLYING,20,normal_pool,1
SPECIES_AERODACTYL,SPECIES_CORVIKNIGHT,FLYING,FLYING,-20,normal_pool,1
SPECIES_AERODACTYL,SPECIES_ALTARIA,FLYING,FLYING,-25,normal_pool,1
SPECIES_AERODACTYL,SPECIES_SIGILYPH,FLYING,FLYING,-25,normal_pool,1
SPECIES_AERODACTYL,SPECIES_KILOWATTREL,FLYING,FLYING,-25,normal_pool,1
SPECIES_AERODACTYL,SPECIES_UNFEZANT,FLYING,FLYING,-27,normal_pool,1
SPECIES_AERODACTYL,SPECIES_UNFEZANT_FEMALE,FLYING,FLYING,-27,normal_pool,1
SPECIES_AERODACTYL,SPECIES_STARAPTOR,FLYING,FLYING,-30,normal_pool,1
SPECIES_AERODACTYL,SPECIES_TOGEKISS,FLYING,FLYING,30,normal_pool,1
SPECIES_AERODACTYL,SPECIES_TOUCANNON,FLYING,FLYING,-30,normal_pool,1
SPECIES_AERODACTYL,SPECIES_BOMBIRDIER,FLYING,FLYING,-30,normal_pool,1
SPECIES_AERODACTYL,SPECIES_PIDGEOT,FLYING,FLYING,-36,normal_pool,1
SPECIES_AERODACTYL,SPECIES_ORICORIO,FLYING,FLYING,-39,normal_pool,1
SPECIES_AERODACTYL,SPECIES_CRAMORANT,FLYING,FLYING,-40,normal_pool,1
SPECIES_AERODACTYL,SPECIES_SWANNA,FLYING,FLYING,-42,normal_pool,1
SPECIES_AERODACTYL,SPECIES_DODRIO,FLYING,FLYING,-45,normal_pool,1
SPECIES_AERODACTYL,SPECIES_XATU,FLYING,FLYING,-45,normal_pool,1
SPECIES_AERODACTYL,SPECIES_SKARMORY,FLYING,FLYING,-50,normal_pool,2
SPECIES_AERODACTYL,SPECIES_ARCHEOPS,"FLYING,ROCK",FLYING,52,normal_pool,2
SPECIES_AERODACTYL,SPECIES_GOLBAT,FLYING,FLYING,-60,normal_pool,2
SPECIES_AERODACTYL,SPECIES_SWELLOW,FLYING,FLYING,-60,normal_pool,2
SPECIES_AERODACTYL,SPECIES_NOCTOWL,FLYING,FLYING,-63,normal_pool,2
SPECIES_AERODACTYL,SPECIES_FEAROW,FLYING,FLYING,-73,normal_pool,3
SPECIES_AERODACTYL,SPECIES_PELIPPER,FLYING,FLYING,-75,normal_pool,3
SPECIES_AERODACTYL,SPECIES_SWOOBAT,FLYING,FLYING,-90,normal_pool,3
SPECIES_AERODACTYL,SPECIES_DARTRIX,FLYING,FLYING,-95,normal_pool,3
SPECIES_AERODACTYL,SPECIES_SQUAWKABILLY,FLYING,FLYING,-98,normal_pool,3
SPECIES_AERODACTYL,SPECIES_CHATOT,FLYING,FLYING,-104,normal_pool,3
SPECIES_AGGRON,SPECIES_RHYPERIOR,ROCK,MONSTER,5,normal_pool,1
SPECIES_AGGRON,SPECIES_TYRANTRUM,ROCK,MONSTER,-9,normal_pool,1
SPECIES_AGGRON,SPECIES_AURORUS,ROCK,MONSTER,-9,normal_pool,1
SPECIES_AGGRON,SPECIES_AVALUGG_HISUIAN,ROCK,MONSTER,-16,normal_pool,1
SPECIES_AGGRON,SPECIES_RAMPARDOS,ROCK,MONSTER,-35,normal_pool,1
SPECIES_AGGRON,SPECIES_BASTIODON,"ROCK,STEEL",MONSTER,-35,normal_pool,1
SPECIES_AGGRON,SPECIES_RHYDON,ROCK,MONSTER,-45,normal_pool,1
SPECIES_AGGRON,SPECIES_DREDNAW,ROCK,MONSTER,-45,normal_pool,1
SPECIES_AGGRON,SPECIES_TYRANITAR,ROCK,MONSTER,70,normal_pool,2
SPECIES_AGGRON,SPECIES_LAIRON,"ROCK,STEEL",MONSTER,-100,normal_pool,3
SPECIES_AIPOM,SPECIES_LOUDRED,NORMAL,FIELD,0,normal_pool,1
SPECIES_AIPOM,SPECIES_SPINDA,NORMAL,FIELD,0,normal_pool,1
SPECIES_AIPOM,SPECIES_LITLEO,NORMAL,FIELD,9,normal_pool,1
SPECIES_AIPOM,SPECIES_BUNEARY,NORMAL,FIELD,-10,normal_pool,1
SPECIES_AIPOM,SPECIES_HERDIER,NORMAL,FIELD,10,normal_pool,1
SPECIES_AIPOM,SPECIES_FARFETCHD,NORMAL,FIELD,17,normal_pool,1
SPECIES_AIPOM,SPECIES_STUFFUL,NORMAL,FIELD,-20,normal_pool,1
SPECIES_AIPOM,SPECIES_DEERLING,NORMAL,FIELD,-25,normal_pool,1
SPECIES_AIPOM,SPECIES_DEERLING_SUMMER,NORMAL,FIELD,-25,normal_pool,1
SPECIES_AIPOM,SPECIES_DEERLING_AUTUMN,NORMAL,FIELD,-25,normal_pool,1
SPECIES_AIPOM,SPECIES_DEERLING_WINTER,NORMAL,FIELD,-25,normal_pool,1
SPECIES_AIPOM,SPECIES_TEDDIURSA,NORMAL,FIELD,-30,normal_pool,1
SPECIES_AIPOM,SPECIES_ZORUA_HISUIAN,NORMAL,FIELD,-30,normal_pool,1
SPECIES_AIPOM,SPECIES_EEVEE,NORMAL,FIELD,-35,normal_pool,1
SPECIES_AIPOM,SPECIES_DELCATTY,NORMAL,FIELD,40,normal_pool,1
SPECIES_AIPOM,SPECIES_BIBAREL,NORMAL,FIELD,50,normal_pool,2
SPECIES_AIPOM,SPECIES_GLAMEOW,NORMAL,FIELD,-50,normal_pool,2
SPECIES_AIPOM,SPECIES_RATICATE,NORMAL,FIELD,53,normal_pool,2
SPECIES_AIPOM,SPECIES_RATICATE_ALOLAN,NORMAL,FIELD,53,normal_pool,2
SPECIES_AIPOM,SPECIES_RATICATE_ALOLAN_LARGE,NORMAL,FIELD,53,normal_pool,2
SPECIES_AIPOM,SPECIES_FURRET,NORMAL,FIELD,55,normal_pool,2
SPECIES_AIPOM,SPECIES_DUNSPARCE,NORMAL,FIELD,55,normal_pool,2
SPECIES_AIPOM,SPECIES_TANDEMAUS,NORMAL,FIELD,-55,normal_pool,2
SPECIES_AIPOM,SPECIES_GUMSHOOS,NORMAL,FIELD,58,normal_pool,2
SPECIES_AIPOM,SPECIES_LINOONE,NORMAL,FIELD,60,normal_pool,2
SPECIES_AIPOM,SPECIES_WATCHOG,NORMAL,FIELD,60,normal_pool,2
SPECIES_AIPOM,SPECIES_MINCCINO,NORMAL,FIELD,-60,normal_pool,2
SPECIES_AIPOM,SPECIES_LINOONE_GALARIAN,NORMAL,FIELD,60,normal_pool,2
SPECIES_AIPOM,SPECIES_DIGGERSBY,NORMAL,FIELD,63,normal_pool,2
SPECIES_AIPOM,SPECIES_MEOWTH,NORMAL,FIELD,-70,normal_pool,2
SPECIES_AIPOM,SPECIES_SHROODLE,NORMAL,FIELD,-70,normal_pool,2
SPECIES_AIPOM,SPECIES_PERSIAN,NORMAL,FIELD,80,normal_pool,3
SPECIES_AIPOM,SPECIES_SLAKOTH,NORMAL,FIELD,-80,normal_pool,3
SPECIES_AIPOM,SPECIES_VIGOROTH,NORMAL,FIELD,80,normal_pool,3
SPECIES_AIPOM,SPECIES_KECLEON,NORMAL,FIELD,80,normal_pool,3
SPECIES_AIPOM,SPECIES_LILLIPUP,NORMAL,FIELD,-85,normal_pool,3
SPECIES_AIPOM,SPECIES_SKWOVET,NORMAL,FIELD,-85,normal_pool,3
SPECIES_AIPOM,SPECIES_WOOLOO,NORMAL,FIELD,-90,normal_pool,3
SPECIES_AIPOM,SPECIES_PURUGLY,NORMAL,FIELD,92,normal_pool,3
SPECIES_AIPOM,SPECIES_GIRAFARIG,NORMAL,FIELD,95,normal_pool,3
SPECIES_AIPOM,SPECIES_ZANGOOSE,NORMAL,FIELD,98,normal_pool,3
SPECIES_AIPOM,SPECIES_SKITTY,NORMAL,FIELD,-100,normal_pool,3
SPECIES_AIPOM,SPECIES_GREEDENT,NORMAL,FIELD,100,normal_pool,3
SPECIES_AIPOM,SPECIES_STANTLER,NORMAL,FIELD,105,normal_pool,3
SPECIES_AIPOM,SPECIES_PATRAT,NORMAL,FIELD,-105,normal_pool,3
SPECIES_ALAKAZAM,SPECIES_GOTHITELLE,PSYCHIC,HUMAN_LIKE,-10,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_BEHEEYEM,PSYCHIC,HUMAN_LIKE,-15,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_HYPNO,PSYCHIC,HUMAN_LIKE,-17,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_GARDEVOIR,PSYCHIC,HUMAN_LIKE,18,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_GALLADE,PSYCHIC,HUMAN_LIKE,18,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_MR_RIME,PSYCHIC,HUMAN_LIKE,20,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_ARMAROUGE,PSYCHIC,HUMAN_LIKE,25,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_MR_MIME,PSYCHIC,HUMAN_LIKE,-40,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_MR_MIME_GALARIAN,PSYCHIC,HUMAN_LIKE,-40,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_JYNX,PSYCHIC,HUMAN_LIKE,-45,normal_pool,1
SPECIES_ALAKAZAM,SPECIES_MEDICHAM,PSYCHIC,HUMAN_LIKE,-90,normal_pool,3
SPECIES_ALAKAZAM,SPECIES_KADABRA,PSYCHIC,HUMAN_LIKE,-100,normal_pool,3
SPECIES_ALCREMIE,SPECIES_CARBINK,FAIRY,FAIRY,5,normal_pool,1
SPECIES_ALCREMIE,SPECIES_WEEZING_GALARIAN,FAIRY,AMORPHOUS,-5,normal_pool,1
SPECIES_ALCREMIE,SPECIES_TINKATON,FAIRY,FAIRY,11,normal_pool,1
SPECIES_ALCREMIE,SPECIES_CLEFABLE,FAIRY,FAIRY,-12,normal_pool,1
SPECIES_ALCREMIE,SPECIES_WHIMSICOTT,FAIRY,FAIRY,-15,normal_pool,1
SPECIES_ALCREMIE,SPECIES_SLURPUFF,FAIRY,FAIRY,-15,normal_pool,1
SPECIES_ALCREMIE,SPECIES_HATTERENE,FAIRY,FAIRY,15,normal_pool,1
SPECIES_ALCREMIE,SPECIES_GRIMMSNARL,FAIRY,FAIRY,15,normal_pool,1
SPECIES_ALCREMIE,SPECIES_MIMIKYU,FAIRY,AMORPHOUS,-19,normal_pool,1
SPECIES_ALCREMIE,SPECIES_GARDEVOIR,FAIRY,AMORPHOUS,23,normal_pool,1
SPECIES_ALCREMIE,SPECIES_RIBOMBEE,FAIRY,FAIRY,-31,normal_pool,1
SPECIES_ALCREMIE,SPECIES_AROMATISSE,FAIRY,FAIRY,-33,normal_pool,1
SPECIES_ALCREMIE,SPECIES_GRANBULL,FAIRY,FAIRY,-45,normal_pool,1
SPECIES_ALCREMIE,SPECIES_TOGEKISS,FAIRY,FAIRY,50,normal_pool,2
SPECIES_ALCREMIE,SPECIES_FLORGES,FAIRY,FAIRY,57,normal_pool,2
SPECIES_ALCREMIE,SPECIES_WIGGLYTUFF,FAIRY,FAIRY,-60,normal_pool,2
SPECIES_ALCREMIE,SPECIES_DEDENNE,FAIRY,FAIRY,-64,normal_pool,2
SPECIES_ALCREMIE,SPECIES_AZUMARILL,FAIRY,FAIRY,-75,normal_pool,3
SPECIES_ALCREMIE,SPECIES_TOGETIC,FAIRY,FAIRY,-90,normal_pool,3
SPECIES_ALOMOMOLA,SPECIES_WHISCASH,WATER,WATER_2,-2,normal_pool,1
SPECIES_ALOMOMOLA,SPECIES_CRAWDAUNT,WATER,WATER_1,-2,normal_pool,1
SPECIES_ALOMOMOLA,SPECIES_SWANNA,WATER,WATER_1,3,normal_pool,1
SPECIES_ALOMOMOLA,SPECIES_DEWGONG,WATER,WATER_1,5,normal_pool,1
SPECIES_ALOMOMOLA,SPECIES_GASTRODON,WATER,WATER_1,5,normal_pool,1
