trainer_id,trainer_name,trainer_class,slot,species,level,move1,move2,move3,move4,learned_move_count,used_move_none,tie_broken,seed
11,Mickey,TRAINERCLASS_KIMONO_GIRL,2,SPECIES_CHIKORITA,18,MOVE_RAZOR_LEAF,MOVE_POISON_POWDER,MOVE_SYNTHESIS,MOVE_REFLECT,6,0,0,42
12,Grunt,TRAINERCLASS_TEAM_ROCKET,0,SPECIES_DEERLING_WINTER,7,MOVE_TACKLE,MOVE_GROWL,MOVE_SAND_ATTACK,MOVE_NONE,3,1,0,42
12,Grunt,TRAINERCLASS_TEAM_ROCKET,1,SPECIES_MUDKIP,9,MOVE_GROWL,MOVE_WATER_GUN,MOVE_ROCK_SMASH,MOVE_ROCK_THROW,5,0,1,42
12,Grunt,TRAINERCLASS_TEAM_ROCKET,2,SPECIES_ZUBAT,9,MOVE_ABSORB,MOVE_SUPERSONIC,MOVE_ASTONISH,MOVE_NONE,3,1,0,42
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,0,SPECIES_ZUBAT,9,MOVE_ABSORB,MOVE_SUPERSONIC,MOVE_ASTONISH,MOVE_NONE,3,1,0,42
13,Grunt,TRAINERCLASS_TEAM_ROCKET_F,1,SPECIES_TANDEMAUS,11,MOVE_POUND,MOVE_ECHOED_VOICE,MOVE_HELPING_HAND,MOVE_SUPER_FANG,5,0,1,42
14,Duncan,TRAINERCLASS_BURGLAR,0,SPECIES_KOFFING,23,MOVE_SMOKESCREEN,MOVE_CLEAR_SMOG,MOVE_ASSURANCE,MOVE_SLUDGE,7,0,0,42
14,Duncan,TRAINERCLASS_BURGLAR,1,SPECIES_MR_RIME,25,MOVE_CONFUSION,MOVE_ALLY_SWITCH,MOVE_ICY_WIND,MOVE_DOUBLE_KICK,23,0,0,42
14,Duncan,TRAINERCLASS_BURGLAR,2,SPECIES_KOFFING,23,MOVE_SMOKESCREEN,MOVE_CLEAR_SMOG,MOVE_ASSURANCE,MOVE_SLUDGE,7,0,0,42
15,Otis,TRAINERCLASS_FIREBREATHER,0,SPECIES_SIMISEAR,43,MOVE_LEER,MOVE_LICK,MOVE_FURY_SWIPES,MOVE_FLAME_BURST,4,0,0,42
15,Otis,TRAINERCLASS_FIREBREATHER,1,SPECIES_MUK_ALOLAN,40,MOVE_KNOCK_OFF,MOVE_CRUNCH,MOVE_SCREECH,MOVE_GUNK_SHOT,13,0,0,42
15,Otis,TRAINERCLASS_FIREBREATHER,2,SPECIES_MONFERNO,47,MOVE_TORMENT,MOVE_CLOSE_COMBAT,MOVE_FIRE_SPIN,MOVE_ACROBATICS,12,0,0,42
16,Simon,TRAINERCLASS_SWIMMER_M,0,SPECIES_PIPLUP,20,MOVE_WATER_GUN,MOVE_CHARM,MOVE_PECK,MOVE_BUBBLE_BEAM,6,0,0,42
16,Simon,TRAINERCLASS_SWIMMER_M,1,SPECIES_TIRTOUGA,20,MOVE_SMACK_DOWN,MOVE_ANCIENT_POWER,MOVE_BITE,MOVE_WIDE_GUARD,8,0,0,42
17,Kenji,TRAINERCLASS_BLACK_BELT,0,SPECIES_MONFERNO,28,MOVE_TAUNT,MOVE_FURY_SWIPES,MOVE_FLAME_WHEEL,MOVE_FEINT,8,0,0,42
18,Justin,TRAINERCLASS_FISHERMAN,0,SPECIES_MAGIKARP,5,MOVE_SPLASH,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
18,Justin,TRAINERCLASS_FISHERMAN,1,SPECIES_MAGIKARP,5,MOVE_SPLASH,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
18,Justin,TRAINERCLASS_FISHERMAN,2,SPECIES_MAGIKARP,15,MOVE_SPLASH,MOVE_TACKLE,MOVE_NONE,MOVE_NONE,2,1,0,42
18,Justin,TRAINERCLASS_FISHERMAN,3,SPECIES_PSYDUCK,5,MOVE_SCRATCH,MOVE_TAIL_WHIP,MOVE_WATER_GUN,MOVE_NONE,3,1,0,42
19,Mickey,TRAINERCLASS_BIKER,0,SPECIES_GASTLY,20,MOVE_MEAN_LOOK,MOVE_PAYBACK,MOVE_SPITE,MOVE_CURSE,7,0,0,42
19,Mickey,TRAINERCLASS_BIKER,1,SPECIES_YAMASK,20,MOVE_NIGHT_SHADE,MOVE_DISABLE,MOVE_WILL_O_WISP,MOVE_CRAFTY_SHIELD,7,0,0,42
19,Mickey,TRAINERCLASS_BIKER,2,SPECIES_GASTLY,20,MOVE_MEAN_LOOK,MOVE_PAYBACK,MOVE_SPITE,MOVE_CURSE,7,0,0,42
20,Falkner,TRAINERCLASS_LEADER_FALKNER,0,SPECIES_DODUO,9,MOVE_GROWL,MOVE_PECK,MOVE_QUICK_ATTACK,MOVE_FURY_ATTACK,4,0,0,42
20,Falkner,TRAINERCLASS_LEADER_FALKNER,1,SPECIES_SPEAROW,13,MOVE_GROWL,MOVE_LEER,MOVE_ASSURANCE,MOVE_FURY_ATTACK,5,0,1,42
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,0,SPECIES_BEAUTIFLY,17,MOVE_BUG_BITE,MOVE_ABSORB,MOVE_STUN_SPORE,MOVE_MORNING_SUN,10,0,1,42
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,1,SPECIES_COMBEE,15,MOVE_GUST,MOVE_SWEET_SCENT,MOVE_BUG_BITE,MOVE_STRUGGLE_BUG,4,0,0,42
21,Bugsy,TRAINERCLASS_LEADER_BUGSY,2,SPECIES_SILCOON,15,MOVE_HARDEN,MOVE_HARDEN,MOVE_NONE,MOVE_NONE,2,1,0,42
22,Carrie,TRAINERCLASS_LASS,0,SPECIES_COTTONEE,17,MOVE_FAIRY_WIND,MOVE_STUN_SPORE,MOVE_MEGA_DRAIN,MOVE_RAZOR_LEAF,6,0,0,42
23,Larry,TRAINERCLASS_POKE_MANIAC,0,SPECIES_STARYU,11,MOVE_HARDEN,MOVE_TACKLE,MOVE_WATER_GUN,MOVE_CONFUSE_RAY,4,0,0,42
24,Alan,TRAINERCLASS_SCHOOL_KID_M,0,SPECIES_SLOWKING,17,MOVE_TACKLE,MOVE_YAWN,MOVE_CONFUSION,MOVE_DISABLE,10,0,1,42
25,Russel,TRAINERCLASS_HIKER,0,SPECIES_POLTCHAGEIST,4,MOVE_STUN_SPORE,MOVE_WITHDRAW,MOVE_ASTONISH,MOVE_NONE,3,1,0,42
25,Russel,TRAINERCLASS_HIKER,1,SPECIES_CARKOL,6,MOVE_TACKLE,MOVE_SMOKESCREEN,MOVE_RAPID_SPIN,MOVE_SMACK_DOWN,5,0,0,42
25,Russel,TRAINERCLASS_HIKER,2,SPECIES_ROLYCOLY,8,MOVE_TACKLE,MOVE_SMOKESCREEN,MOVE_RAPID_SPIN,MOVE_NONE,3,1,0,42
26,Roland,TRAINERCLASS_CAMPER,0,SPECIES_NIDORAN_M,9,MOVE_LEER,MOVE_POISON_STING,MOVE_PECK,MOVE_NONE,3,1,0,42
27,Liz,TRAINERCLASS_PICNICKER,0,SPECIES_NIDORINO,8,MOVE_FOCUS_ENERGY,MOVE_LEER,MOVE_PECK,MOVE_POISON_STING,4,0,0,42
28,Jake,TRAINERCLASS_ACE_TRAINER_M,0,SPECIES_ARIADOS,33,MOVE_SHADOW_SNEAK,MOVE_FURY_SWIPES,MOVE_SUCKER_PUNCH,MOVE_AGILITY,14,0,0,42
28,Jake,TRAINERCLASS_ACE_TRAINER_M,1,SPECIES_LOMBRE,35,MOVE_MEGA_DRAIN,MOVE_FURY_SWIPES,MOVE_BUBBLE_BEAM,MOVE_LEECH_SEED,13,0,0,42
28,Jake,TRAINERCLASS_ACE_TRAINER_M,2,SPECIES_PALAFIN,33,MOVE_DOUBLE_HIT,MOVE_DIVE,MOVE_CHARM,MOVE_ACROBATICS,11,0,0,42
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_RUFFLET,7,MOVE_LEER,MOVE_PECK,MOVE_HONE_CLAWS,MOVE_NONE,3,1,0,42
29,Rod,TRAINERCLASS_BIRD_KEEPER_GS,1,SPECIES_STARLY,7,MOVE_TACKLE,MOVE_GROWL,MOVE_QUICK_ATTACK,MOVE_NONE,3,1,0,42
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,0,SPECIES_TANDEMAUS,17,MOVE_ECHOED_VOICE,MOVE_HELPING_HAND,MOVE_SUPER_FANG,MOVE_DOUBLE_HIT,6,0,0,42
30,Whitney,TRAINERCLASS_LEADER_WHITNEY,1,SPECIES_RATICATE_ALOLAN,19,MOVE_FOCUS_ENERGY,MOVE_BITE,MOVE_SUPER_FANG,MOVE_CRUNCH,13,0,0,42
31,Morty,TRAINERCLASS_LEADER_MORTY,0,SPECIES_SINISTEA,21,MOVE_WITHDRAW,MOVE_ASTONISH,MOVE_AROMATIC_MIST,MOVE_MEGA_DRAIN,4,0,0,42
31,Morty,TRAINERCLASS_LEADER_MORTY,1,SPECIES_YAMASK,21,MOVE_NIGHT_SHADE,MOVE_DISABLE,MOVE_WILL_O_WISP,MOVE_CRAFTY_SHIELD,7,0,0,42
31,Morty,TRAINERCLASS_LEADER_MORTY,2,SPECIES_HAUNTER,25,MOVE_PAYBACK,MOVE_SPITE,MOVE_CURSE,MOVE_HEX,9,0,0,42
31,Morty,TRAINERCLASS_LEADER_MORTY,3,SPECIES_DUSKNOIR,23,MOVE_BIND,MOVE_CONFUSE_RAY,MOVE_NIGHT_SHADE,MOVE_PAYBACK,13,0,1,42
32,Pryce,TRAINERCLASS_LEADER_PRYCE,0,SPECIES_CUBCHOO,30,MOVE_SLASH,MOVE_FLAIL,MOVE_CHARM,MOVE_SNOWSCAPE,12,0,0,42
32,Pryce,TRAINERCLASS_LEADER_PRYCE,1,SPECIES_SNEASEL,32,MOVE_QUICK_ATTACK,MOVE_METAL_CLAW,MOVE_ICY_WIND,MOVE_FURY_SWIPES,7,0,0,42
32,Pryce,TRAINERCLASS_LEADER_PRYCE,2,SPECIES_NINETALES_ALOLAN,34,MOVE_TAIL_WHIP,MOVE_BLIZZARD,MOVE_ICY_WIND,MOVE_IMPRISON,5,0,0,42
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,0,SPECIES_HONEDGE,30,MOVE_METAL_SOUND,MOVE_SLASH,MOVE_NIGHT_SLASH,MOVE_RETALIATE,9,0,0,42
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,1,SPECIES_BRONZOR,30,MOVE_GYRO_BALL,MOVE_HYPNOSIS,MOVE_SAFEGUARD,MOVE_EXTRASENSORY,9,0,0,42
33,Jasmine,TRAINERCLASS_LEADER_JASMINE,2,SPECIES_DOUBLADE,35,MOVE_SLASH,MOVE_NIGHT_SLASH,MOVE_RETALIATE,MOVE_IRON_DEFENSE,10,0,0,42
34,Chuck,TRAINERCLASS_LEADER_CHUCK,0,SPECIES_EMBOAR,29,MOVE_FLAME_CHARGE,MOVE_SMOG,MOVE_ROLLOUT,MOVE_TAKE_DOWN,9,0,0,42
34,Chuck,TRAINERCLASS_LEADER_CHUCK,1,SPECIES_DECIDUEYE_HISUIAN,31,MOVE_RAZOR_LEAF,MOVE_SYNTHESIS,MOVE_PLUCK,MOVE_BULK_UP,12,0,0,42
35,Clair,TRAINERCLASS_LEADER_CLAIR,0,SPECIES_NOIVERN,38,MOVE_AIR_CUTTER,MOVE_WHIRLWIND,MOVE_SUPER_FANG,MOVE_AIR_SLASH,13,0,0,42
35,Clair,TRAINERCLASS_LEADER_CLAIR,1,SPECIES_GABITE,38,MOVE_SAND_ATTACK,MOVE_BULLDOZE,MOVE_BITE,MOVE_SLASH,7,0,1,42
35,Clair,TRAINERCLASS_LEADER_CLAIR,2,SPECIES_GABITE,38,MOVE_TACKLE,MOVE_BULLDOZE,MOVE_BITE,MOVE_SLASH,7,0,1,42
35,Clair,TRAINERCLASS_LEADER_CLAIR,3,SPECIES_DRAMPA,41,MOVE_DRAGON_BREATH,MOVE_EXTRASENSORY,MOVE_DRAGON_PULSE,MOVE_LIGHT_SCREEN,10,0,0,42
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,0,SPECIES_MAREEP,36,MOVE_CONFUSE_RAY,MOVE_POWER_GEM,MOVE_DISCHARGE,MOVE_COTTON_GUARD,12,0,0,42
36,Joyce,TRAINERCLASS_ACE_TRAINER_F,1,SPECIES_LUMINEON,36,MOVE_WATER_PULSE,MOVE_ATTRACT,MOVE_SAFEGUARD,MOVE_AQUA_RING,9,0,0,42
37,Preston,TRAINERCLASS_GENTLEMAN,0,SPECIES_RABOOT,18,MOVE_QUICK_ATTACK,MOVE_TACKLE,MOVE_GROWL,MOVE_DOUBLE_KICK,5,0,1,42
37,Preston,TRAINERCLASS_GENTLEMAN,1,SPECIES_CHIMCHAR,18,MOVE_EMBER,MOVE_TAUNT,MOVE_FURY_SWIPES,MOVE_FLAME_WHEEL,6,0,0,42
38,Colette,TRAINERCLASS_TEACHER,0,SPECIES_FLABEBE,45,MOVE_SYNTHESIS,MOVE_MISTY_TERRAIN,MOVE_MOONBLAST,MOVE_PETAL_DANCE,13,0,0,42
39,Eugene,TRAINERCLASS_SAILOR,0,SPECIES_CRAMORANT,17,MOVE_SPIT_UP,MOVE_PECK,MOVE_WATER_GUN,MOVE_FURY_ATTACK,6,0,1,42
39,Eugene,TRAINERCLASS_SAILOR,1,SPECIES_HERDIER,17,MOVE_LEER,MOVE_WORK_UP,MOVE_BITE,MOVE_RETALIATE,5,0,1,42
39,Eugene,TRAINERCLASS_SAILOR,2,SPECIES_KRABBY,19,MOVE_HARDEN,MOVE_METAL_CLAW,MOVE_MUD_SHOT,MOVE_PROTECT,6,0,0,42
40,Mickey,TRAINERCLASS_SUPER_NERD,0,SPECIES_KOFFING,20,MOVE_SMOKESCREEN,MOVE_CLEAR_SMOG,MOVE_ASSURANCE,MOVE_SLUDGE,7,0,0,42
41,Clyde,TRAINERCLASS_GUITARIST,0,SPECIES_ELECTABUZZ,42,MOVE_SCREECH,MOVE_THUNDER_PUNCH,MOVE_DISCHARGE,MOVE_LOW_KICK,11,0,0,42
42,Nathan,TRAINERCLASS_PSYCHIC_M,0,SPECIES_DUBWOOL,26,MOVE_DEFENSE_CURL,MOVE_GUARD_SPLIT,MOVE_DOUBLE_KICK,MOVE_HEADBUTT,7,0,1,42
43,Chow,TRAINERCLASS_SAGE,0,SPECIES_GROOKEY,3,MOVE_SCRATCH,MOVE_GROWL,MOVE_NONE,MOVE_NONE,2,1,0,42
43,Chow,TRAINERCLASS_SAGE,1,SPECIES_SHROOMISH,3,MOVE_TACKLE,MOVE_ABSORB,MOVE_NONE,MOVE_NONE,2,1,0,42
43,Chow,TRAINERCLASS_SAGE,2,SPECIES_PARAS,3,MOVE_SCRATCH,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
44,Derek,TRAINERCLASS_POKEFAN_M,0,SPECIES_PACHIRISU,18,MOVE_QUICK_ATTACK,MOVE_CHARM,MOVE_SPARK,MOVE_ENDURE,6,0,0,42
45,Ruth,TRAINERCLASS_POKEFAN,0,SPECIES_SNEASEL_HISUIAN,17,MOVE_LEER,MOVE_SCRATCH,MOVE_TAUNT,MOVE_QUICK_ATTACK,5,0,1,42
46,Martha,TRAINERCLASS_MEDIUM,0,SPECIES_FRILLISH,18,MOVE_POISON_STING,MOVE_NIGHT_SHADE,MOVE_WATER_PULSE,MOVE_RAIN_DANCE,6,0,0,42
46,Martha,TRAINERCLASS_MEDIUM,1,SPECIES_YAMASK_GALARIAN,20,MOVE_NIGHT_SHADE,MOVE_DISABLE,MOVE_BRUTAL_SWING,MOVE_CRAFTY_SHIELD,7,0,0,42
46,Martha,TRAINERCLASS_MEDIUM,2,SPECIES_GULPIN,20,MOVE_SLUDGE,MOVE_AMNESIA,MOVE_ACID_SPRAY,MOVE_ENCORE,7,0,0,42
47,Mikey,TRAINERCLASS_YOUNGSTER,0,SPECIES_PIDGEY,2,MOVE_TACKLE,MOVE_NONE,MOVE_NONE,MOVE_NONE,1,1,0,42
47,Mikey,TRAINERCLASS_YOUNGSTER,1,SPECIES_SKWOVET,4,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_NONE,MOVE_NONE,2,1,0,42
48,Rob,TRAINERCLASS_BUG_CATCHER,0,SPECIES_LARVESTA,40,MOVE_STRUGGLE_BUG,MOVE_FLAME_WHEEL,MOVE_SCREECH,MOVE_LEECH_LIFE,7,0,0,42
48,Rob,TRAINERCLASS_BUG_CATCHER,1,SPECIES_VENIPEDE,39,MOVE_VENOSHOCK,MOVE_TAKE_DOWN,MOVE_AGILITY,MOVE_TOXIC,11,0,0,42
49,Albert,TRAINERCLASS_YOUNGSTER,0,SPECIES_SLAKOTH,6,MOVE_SCRATCH,MOVE_YAWN,MOVE_ENCORE,MOVE_NONE,3,1,0,42
49,Albert,TRAINERCLASS_YOUNGSTER,1,SPECIES_PIDOVE,8,MOVE_GUST,MOVE_GROWL,MOVE_LEER,MOVE_QUICK_ATTACK,4,0,0,42
50,Abe,TRAINERCLASS_BIRD_KEEPER_GS,0,SPECIES_SPEAROW,9,MOVE_GROWL,MOVE_PECK,MOVE_LEER,MOVE_ASSURANCE,4,0,0,42
51,Nico,TRAINERCLASS_SAGE,0,SPECIES_SHROOMISH,3,MOVE_TACKLE,MOVE_ABSORB,MOVE_NONE,MOVE_NONE,2,1,0,42
51,Nico,TRAINERCLASS_SAGE,1,SPECIES_COTTONEE,3,MOVE_HELPING_HAND,MOVE_ABSORB,MOVE_FAIRY_WIND,MOVE_NONE,3,1,0,42
51,Nico,TRAINERCLASS_SAGE,2,SPECIES_BRAMBLIN,3,MOVE_DEFENSE_CURL,MOVE_ROLLOUT,MOVE_ASTONISH,MOVE_NONE,3,1,0,42
52,Edmond,TRAINERCLASS_SAGE,0,SPECIES_APPLIN,3,MOVE_ASTONISH,MOVE_WITHDRAW,MOVE_NONE,MOVE_NONE,2,1,0,42
52,Edmond,TRAINERCLASS_SAGE,1,SPECIES_LOMBRE,3,MOVE_TEETER_DANCE,MOVE_FAKE_OUT,MOVE_ASTONISH,MOVE_GROWL,8,0,1,42
52,Edmond,TRAINERCLASS_SAGE,2,SPECIES_FOONGUS,3,MOVE_ABSORB,MOVE_ASTONISH,MOVE_NONE,MOVE_NONE,2,1,0,42
53,Jin,TRAINERCLASS_SAGE,0,SPECIES_LOTAD,6,MOVE_GROWL,MOVE_ASTONISH,MOVE_ABSORB,MOVE_WATER_GUN,4,0,0,42
54,Troy,TRAINERCLASS_SAGE,0,SPECIES_SMOLIV,7,MOVE_TACKLE,MOVE_SWEET_SCENT,MOVE_ABSORB,MOVE_GROWTH,4,0,0,42
54,Troy,TRAINERCLASS_SAGE,1,SPECIES_NOIBAT,7,MOVE_TACKLE,MOVE_ABSORB,MOVE_GUST,MOVE_NONE,3,1,0,42
55,Neal,TRAINERCLASS_SAGE,0,SPECIES_NUZLEAF,6,MOVE_ABSORB,MOVE_FAKE_OUT,MOVE_TACKLE,MOVE_HARDEN,10,0,1,42
56,Gordon,TRAINERCLASS_YOUNGSTER,0,SPECIES_CUBCHOO,10,MOVE_POWDER_SNOW,MOVE_ENDURE,MOVE_FURY_SWIPES,MOVE_ICY_WIND,5,0,1,42
57,Ralph,TRAINERCLASS_FISHERMAN,0,SPECIES_BARBOACH,10,MOVE_WATER_GUN,MOVE_MUD_SLAP,MOVE_REST,MOVE_SNORE,4,0,0,42
58,Arnold,TRAINERCLASS_FISHERMAN,0,SPECIES_SHELLDER,44,MOVE_RAZOR_SHELL,MOVE_IRON_DEFENSE,MOVE_ICE_BEAM,MOVE_SHELL_SMASH,13,0,0,42
59,Kyle,TRAINERCLASS_FISHERMAN,0,SPECIES_LUVDISC,39,MOVE_FLAIL,MOVE_SWEET_KISS,MOVE_TAKE_DOWN,MOVE_BABY_DOLL_EYES,12,0,0,42
59,Kyle,TRAINERCLASS_FISHERMAN,1,SPECIES_RELICANTH,35,MOVE_DIVE,MOVE_TAKE_DOWN,MOVE_AQUA_TAIL,MOVE_REST,9,0,0,42
59,Kyle,TRAINERCLASS_FISHERMAN,2,SPECIES_LUVDISC,39,MOVE_FLAIL,MOVE_SWEET_KISS,MOVE_TAKE_DOWN,MOVE_BABY_DOLL_EYES,12,0,0,42
60,Henry,TRAINERCLASS_FISHERMAN,0,SPECIES_BUIZEL,8,MOVE_TACKLE,MOVE_GROWL,MOVE_SOAK,MOVE_NONE,3,1,0,42
60,Henry,TRAINERCLASS_FISHERMAN,1,SPECIES_WARTORTLE,8,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_WATER_GUN,MOVE_WITHDRAW,4,0,0,42
61,Anthony,TRAINERCLASS_HIKER,0,SPECIES_SHEDINJA,11,MOVE_METAL_CLAW,MOVE_DIG,MOVE_MUD_SLAP,MOVE_HARDEN,9,0,1,42
61,Anthony,TRAINERCLASS_HIKER,1,SPECIES_MACHOP,11,MOVE_LEER,MOVE_LOW_KICK,MOVE_FOCUS_ENERGY,MOVE_REVENGE,4,0,0,42
62,Samuel,TRAINERCLASS_YOUNGSTER,0,SPECIES_RATTATA_ALOLAN,7,MOVE_TACKLE,MOVE_TAIL_WHIP,MOVE_QUICK_ATTACK,MOVE_NONE,3,1,0,42
62,Samuel,TRAINERCLASS_YOUNGSTER,1,SPECIES_KROKOROK,10,MOVE_SAND_ATTACK,MOVE_LEER,MOVE_POWER_TRIP,MOVE_SAND_TOMB,5,0,1,42
62,Samuel,TRAINERCLASS_YOUNGSTER,2,SPECIES_NOIBAT,8,MOVE_TACKLE,MOVE_ABSORB,MOVE_GUST,MOVE_SUPERSONIC,4,0,0,42
62,Samuel,TRAINERCLASS_YOUNGSTER,3,SPECIES_HOOTHOOT,8,MOVE_GROWL,MOVE_PECK,MOVE_TACKLE,MOVE_ECHOED_VOICE,4,0,0,42
63,Mickey,TRAINERCLASS_TEAM_ROCKET,0,SPECIES_GASTLY,14,MOVE_LICK,MOVE_HYPNOSIS,MOVE_MEAN_LOOK,MOVE_PAYBACK,5,0,1,42
64,Ian,TRAINERCLASS_YOUNGSTER,0,SPECIES_TOGEDEMARU,10,MOVE_NUZZLE,MOVE_TACKLE,MOVE_DEFENSE_CURL,MOVE_CHARGE,4,0,0,42
64,Ian,TRAINERCLASS_YOUNGSTER,1,SPECIES_DIGLETT_ALOLAN,12,MOVE_METAL_CLAW,MOVE_GROWL,MOVE_ASTONISH,MOVE_MUD_SLAP,5,0,1,42
65,Gina,TRAINERCLASS_PICNICKER,0,SPECIES_PARAS,9,MOVE_SCRATCH,MOVE_POISON_POWDER,MOVE_STUN_SPORE,MOVE_NONE,3,1,0,42
65,Gina,TRAINERCLASS_PICNICKER,1,SPECIES_COTTONEE,9,MOVE_HELPING_HAND,MOVE_ABSORB,MOVE_FAIRY_WIND,MOVE_STUN_SPORE,4,0,0,42
65,Gina,TRAINERCLASS_PICNICKER,2,SPECIES_PARAS,12,MOVE_SCRATCH,MOVE_POISON_POWDER,MOVE_STUN_SPORE,MOVE_ABSORB,4,0,0,42
